Fecha,bios_IN_CAUDAL,bios_IN_DBO5t,bios_IN_DBO5t_conc,bios_IN_DQOt,bios_IN_DQOt_conc,bios_IN_MES,bios_IN_MES_conc,bios_IN_NNH4,bios_IN_NNH4_conc,bios_IN_NT,bios_IN_NT_conc,bios_IN_P-PO4,bios_IN_P-PO4_conc,bios_IN_Pt,bios_IN_Pt_conc,bios_IN_actiflo_MES_conc,bios_IN_pH,bios_IN_ratio_DBO5t_DQOt,bios_estado_Cm_carga masica,bios_estado_MV,bios_estado_MV_fango_primario_a_espesador,bios_estado_SVI,bios_estado_Tª,bios_estado_fango_recirculacion_conc,bios_estado_kg_MES_totales,bios_estado_kg_MV_totales,bios_estado_pH,bios_estado_pH_fango_primario_a_espesador,bios_manipulable_Caudal_polimero_actiflo,bios_manipulable_Caudal_purga_BIOS_a_espesador,bios_manipulable_Caudal_purga_primarios_a_espesador,bios_manipulable_Caudal_recirculacion,bios_manipulable_Cl3Fe,bios_manipulable_Cl3Fe_actiflo,bios_manipulable_O2_Bio1_Zona_1,bios_manipulable_O2_Bio1_Zona_2,bios_manipulable_O2_Bio2_Zona_1,bios_manipulable_O2_Bio2_Zona_2,bios_manipulable_O2_Bio3_Zona_1,bios_manipulable_O2_Bio3_Zona_2,bios_manipulable_O2_Promedio_Zona_1,bios_manipulable_O2_Promedio_Zona_2,bios_manipulable_SRT,bios_manipulable_TRH,bios_manipulable_kg_dia_fango_primario_a_espesador,efluente_DBO5t_conc,efluente_DQOt_conc,efluente_MES_conc,efluente_N-NH4_conc,efluente_N-NO3_conc,efluente_Ntk_conc,efluente_P-PO4_conc,efluente_Pt_conc,efluente_SO4_conc,efluente_Turbidez,efluente_pH,efluente_rend_elim_DBO5,efluente_rend_elim_DQOt,efluente_rend_elim_NTK,efluente_rend_elim_Pt,efluente_rend_elim_SST,electricidad_Consumo_AGUAS_kWdia,electricidad_Consumo_EDAR_kWdia,electricidad_Consumo_LAMSON_kWdia,electricidad_Consumo_SOPLANTES_BIOLOGICO_kWdia,electricidad_Consumo_fangos_kWh,electricidad_Consumo_ventilacion_kWdia,electricidad_produccion_Turbina_kWdia,fangos_IN_Caudal_a_centrifuga,fangos_IN_kg_dia_fango_a_centrifuga,fangos_bio_kg_MES_retornos_dia,fangos_estado_MS%_fango_a_HORNO,fangos_estado_MS_fango_a _centrifuga,fangos_estado_MV%_fango_a_HORNO,fangos_estado_MV_fango_a_centrifuga,fangos_estado_MV_fango_biologico_a_stocker,fangos_estado_MV_fango_primario_a_stocker,fangos_estado_fango_biologico_a_stocker_conc,fangos_estado_fango_primario_a_stocker_conc,fangos_estado_pH_fango_biologico_a_stocker,fangos_estado_pH_fango_primario_a_stocker,fangos_manipulable_Caudal_polimero_solido,fangos_manipulable_Caudal_purga_BIOS_a_stocker,fangos_manipulable_Caudal_purga_primarios_a_stocker,fangos_manipulable_kg_dia_fango_biologico_a_stocker,fangos_manipulable_kg_dia_fango_primario_a_stocker,horno_IN_Caudal_ms_a_HORNO,horno_IN_kg_fango_a_horno,horno_OUT_Vapor_turbinado,horno_Produccion_vapor_KG/h,horno_estado_kg_fango_MV_a_HORNO,horno_manipulable_Caudal_aire_horno,horno_manipulable_Caudal_fuel_a_HORNO,horno_manipulable_O2_humos,horno_manipulable_Temp_lecho_ºC,influente_CAUDAL,influente_Conductividad,influente_DBO5t,influente_DBO5t_conc,influente_DQOt,influente_DQOt_conc,influente_MES,influente_MES_conc,influente_MV,influente_NNH4,influente_NNH4_conc,influente_NTk,influente_NTk_conc,influente_P-PO4,influente_P-PO4_conc,influente_Pt,influente_Pt_conc,influente_SO4,influente_SO4_conc,influente_pH,influente_ratio_DBO5t_DQOt,P24,PRES00,PRES07,PRES13,PRES18,TMED
,m3,kg/día,mgO2/l,kg/día,mgO2/l,kg/día,mg/l,kg/día,mg/l,kg/día,mg/l,kg/día,mg/l,kg/día,mg/l,mg/l,,,kg DQO/kg MV,%,%,,,g/l,,,,,CAUDAL DE   POLIMERO,m3/día,m3/día,m3/día,litros/dia bio,litros/dia  Actiflo,g/l,g/l,g/l,g/l,g/l,g/l,,,días,horas,kg/día,mgO2/l,mgO2/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,,,%,%,%,%,%,kwh/día,kw/día,kw/día,kw/día,kw/día,kw/día,kw/h,m3/día,kg/día,kg/día,Promedio,g/l,Promedio,%,%,%,g/l,g/l,,,kg/h,m3/día,m3/día,kg/día,kg/día,kg MS/h,kg MS/h,kg/h,kg/h,kg MV/h,Nm3/h,l/dia,O2 humos,Temp media lecho horno,m3,,kg/día,mgO2/l,kg/día,mgO2/l,kg/día,mg/l,%,kg/día,mg/l,kg/día,mg/l,,mg/l,kg/día,mg/l,,mg/l,,,mm,(1/10)hPa,(1/10)hPa,(1/10)hPa,(1/10)hPa,(1/10)C
2019-01-01,117094.75,29507.877,252.0,91685.18925,783.0,41919.9205,358.0,,,,,,,769.3125075,6.57,585.0,7.99,0.3218390804597701,,,,,,,,,,,35278.0,7094.75,6500.0,205223.0,4483.953125,9301.435,1.026092529296875,0.0874369665980339,1.0091469287872314,1.2904759645462036,1.006270408630371,0.7466906905174255,1.0138366222381592,0.7082012072205544,,,16250.0,6.0,72.0,25.0,,,,,0.26,239.0,36.893951416015625,7.47,0.9647058823529412,0.8213399503722084,,0.9407744874715263,0.7159090909090909,15762.1875,55351.42857142856,0.0,18557.872023809527,22435.148809523816,6833.69047619048,,1341.40625,50839.296875,21599.785,,,,,,,,,,,,313.8125,387.6875,11140.34375,25199.6875,57080.0,42237.67014453125,4260.0,4372.25,,22779.625,36.21875,8.727972984313965,772.3651123046875,110000.0,1673.0,18700.0,170.0,44330.0,403.0,9680.0,88.0,99.1,,,,,,,482.8999999999999,4.39,28820.0,262.0,8.13,0.4218362282878412,0,10002,10008,10003,9997,24
2019-01-02,133358.25,28538.6655,214.0,82948.8315,622.0,30672.3975,230.0,8361.562275,62.7,11668.846875,87.5,908.1696825,6.81,1050.86301,7.88,112.0,7.81,0.3440514469453376,0.488776182538597,81.8,95.9,119.0,17.8,4.38,207466.00000000003,169707.188,7.1,7.72,41376.0,8358.25,6666.0,205574.0,5061.171875,10338.9,0.8171237111091614,0.09575474262237549,0.9909367561340332,1.7123364210128784,0.9734007716178894,0.7760432958602905,0.9271537462870278,0.8613781531651815,5.667055504042912,12.096,25797.420000000002,5.0,84.0,12.0,63.0,0.29,64.9,0.02,0.28,,50.38214492797852,7.2,0.9871794871794872,0.9375,0.3397761953204475,0.9731800766283526,0.9796610169491525,10400.3,36525.55714285714,2576.1,11834.01904761905,15075.74761904762,4267.280952380953,500.01885714285714,1431.0,56095.200000000004,20256.64,,39.2,,78.3,73.30000000000001,86.9,33.15,55.6,7.335,6.16,,312.875,411.125,10371.80625,26723.125,61200.0,49567.23558000001,4429.833333333333,4541.166666666667,,21809.875,4.03125,8.296568870544434,745.9115600585938,125000.0,2065.0,48750.0,390.0,168000.0,1344.0,73750.0,590.0,90.5,9000.0,72.0,12287.5,98.3,881.25,7.05,1305.0,10.44,52375.0,419.0,7.69,0.29017857142857145,0,9995,9990,9976,9986,68
2019-01-03,141959.75,30095.467,212.0,92983.63625,655.0,45711.0395,322.0,,,,,,,1148.4543775,8.09,116.0,7.79,0.3236641221374046,0.5866765339512472,81.2,87.2,125.0,17.7,4.52,195187.4,158492.16879999998,7.06,7.7,43360.0,9959.75,6412.0,206370.0,5367.390625,9808.369999999999,0.8841816186904907,0.08996442705392838,1.0003392696380615,1.1654881238937378,1.0053977966308594,0.7005202174186707,0.9633062283198038,0.6519909227887789,4.335756730575078,11.454545454545455,12695.76,4.0,64.0,18.0,,,,,0.15,,40.0059814453125,7.05,0.98989898989899,0.9327731092436975,,0.9833702882483369,0.9620253164556962,20904.4,72240.2,9308.099999999999,24960.8,29739.700000000004,8652.2,195.554,1596.78125,62114.790624999994,17191.5,23.6,38.9,81.5,78.6,73.75,87.3,31.4,63.4,7.475,6.22,,370.5625,478.6875,11635.6625,31114.6875,66412.0,54053.775808437495,4807.333333333333,4994.083333333333,44053.827283876555,21998.791666666668,258.21875,7.844499588012695,753.4329833984375,132000.0,2557.0,52272.0,396.0,125664.0,952.0,62568.0,474.0,90.7,,,,,,,1190.64,9.02,78672.0,596.0,7.7,0.41596638655462187,0,9993,9995,9988,9989,34
2019-01-04,143940.25,,,93129.34175,647.0,37424.465,260.0,,,,,,,,,94.0,7.56,,0.5554632098152104,81.9,92.0,129.0,18.0,4.57,204713.9,167660.6841,7.06,7.24,45176.0,12940.25,7948.0,206392.0,5478.359375,9957.09,0.8407052159309387,0.07292099297046661,1.00153386592865,0.9554280042648315,1.0027110576629639,0.7079618573188782,0.9483167131741842,0.5787702848513921,3.4616923254021796,11.541984732824428,50867.200000000004,8.0,71.0,37.0,,,,,0.6,,43.24653244018555,7.54,0.9809976247030879,0.919683257918552,,0.9160839160839161,0.8865030674846626,17216.077110000002,55544.30000000001,7138.0,18076.7,24017.000000000004,7339.600000000003,342.678,1709.84375,69590.640625,,23.6,40.7,79.5,77.7,74.2,83.7,35.45,55.5,7.52,6.41,,466.9375,506.5625,16552.934375,32926.5625,68644.0,58069.96777675781,4967.666666666667,5367.0,46165.62438252246,23197.333333333332,2376.4375,7.327301025390625,709.4651489257812,131000.0,2766.0,55151.0,421.0,115804.0,884.0,42706.0,326.0,93.9,,,,,,,936.65,7.15,85936.0,656.0,7.37,0.4762443438914027,-3,9991,9997,9996,10007,9
2019-01-05,135020.0,,,86682.84,642.0,42666.32,316.0,,,,,,,,,92.0,7.94,,,,,,,,,,,,47186.0,12020.0,7770.0,206397.0,5170.5,10251.67,0.9217329025268555,0.06863366812467575,1.0014790296554565,1.2384318113327026,1.0121970176696777,0.6737619042396545,0.9784696499506632,0.6602757945656776,,,49728.0,5.0,68.0,23.0,,,,,0.28,,45.30341720581055,7.26,0.9846153846153847,0.9180722891566265,,0.9633507853403142,0.9404145077720207,15884.0,50555.799999999996,6547.999999999998,17082.0,22106.100000000002,6532.400000000001,258.735,1821.78125,74146.49687500001,,,,,,,,,,,,,543.125,530.625,19280.9375,34490.625,65544.0,61871.60580246095,5037.416666666667,5545.0,,22054.333333333332,3448.75,6.892793655395508,709.1954345703125,123000.0,2343.0,39975.0,325.0,102090.0,830.0,47478.0,386.0,93.3,,,,,,,939.72,7.64,66174.0,538.0,7.51,0.39156626506024095,0,10030,10028,9998,9990,50
2019-01-06,129773.25,,,72024.15375,555.0,30886.0335,238.0,,,,,,,,,12.0,8.08,,,,,,,,,,,,44200.0,12773.25,8344.0,206399.0,4988.265625,9976.395,1.0059421062469482,0.1092013269662857,1.006856083869934,2.3378243446350098,1.0116549730300903,0.9581536650657654,1.0081510543823242,1.1350597788890202,,,53401.600000000006,4.0,68.0,27.0,,,,,0.36,,61.2829475402832,7.52,0.983402489626556,0.8913738019169329,,0.9594594594594595,0.885593220338983,15491.3,49346.7,6425.5,16304.6,22199.6,5784.299999999999,389.577,1831.15625,74528.05937500001,,,,,,,,,,,,,570.1875,524.3125,20241.65625,34080.3125,61732.0,62190.0009469922,4934.833333333333,5206.583333333333,,20559.458333333332,3294.46875,6.99426794052124,710.9320068359375,117000.0,2812.0,28197.0,241.0,73242.0,626.0,27612.0,236.0,94.1,,,,,,,1038.96,8.88,80613.0,689.0,7.7,0.38498402555910544,0,9999,9996,9993,9983,88
2019-01-07,136957.0,17941.367,131.0,81626.372,596.0,43004.498,314.0,,,,,,,,,120.0,8.11,0.2197986577181208,,,,,,,,,,,44414.0,13957.0,8284.0,206396.0,5205.515625,10024.3,0.8749344944953918,0.18721958994865417,0.9912522435188293,2.657524585723877,0.9840599894523621,0.937945544719696,0.9500822424888612,1.2608965734640758,,,53017.600000000006,6.0,69.0,27.0,,,,,0.27,,45.18196105957031,7.48,0.9788732394366197,0.9206896551724137,,0.9601181683899558,0.9321608040201005,14700.499999999998,49724.9,6797.400000000001,16877.8,22547.899999999998,5550.4,289.651,1664.9375,67762.95625,24559.88,,,,,,,,,,,,478.4375,489.3125,16984.53125,31805.3125,61828.0,56544.855034453125,4987.083333333333,5280.333333333333,,21131.791666666668,4071.65625,7.11430025100708,711.5352783203125,123000.0,2128.0,34932.0,284.0,107010.0,870.0,48954.0,398.0,95.0,,,,,,,832.71,6.77,56457.0,459.0,8.0,0.3264367816091954,0,9989,9999,9995,10004,64
2019-01-08,149417.25,22711.422,152.0,90397.43625,605.0,42135.6645,282.0,,,,,999.6014025000001,6.69,1280.5058325,8.57,88.0,8.05,0.2512396694214876,0.6012425327949324,82.2,85.9,122.0,18.2,4.44,182908.8,150351.03360000002,7.09,7.67,49266.0,14417.25,7192.0,204793.0,5652.03125,10889.449999999999,0.8847697377204895,0.08450090885162354,0.928063690662384,1.740582823753357,1.0336437225341797,0.7699066996574402,0.9488257169723512,0.8649968107541403,2.8573878982243963,11.2,14024.4,7.0,69.0,22.0,,,,0.01,0.28,,33.28643035888672,7.53,0.9806629834254144,0.9393673110720563,,0.9681093394077449,0.9586466165413534,15494.5,50925.8,5895.1,17821.399999999998,21437.6,5418.000000000001,526.795,1437.0,60785.1,21939.0,23.4,42.3,80.5,80.3,75.5,83.8,34.4,54.2,7.35,6.48,,415.5625,427.6875,14295.349999999999,27799.6875,59136.0,48030.4975625,4807.25,5030.083333333333,38664.5505378125,19789.041666666668,2882.59375,7.036402702331543,712.599365234375,135000.0,2895.0,48870.0,362.0,153630.0,1138.0,71820.0,532.0,85.0,,,,,718.2,5.32,1185.3,8.78,85455.0,633.0,7.54,0.3181019332161687,0,10010,10000,9972,9954,65
2019-01-09,155476.5,19745.5155,127.0,94685.1885,609.0,45399.138,292.0,8768.8746,56.4,13448.71725,86.5,,,1251.585825,8.05,48.0,8.09,0.20853858784893267,0.6388669438476209,81.5,86.4,109.0,18.2,4.54,181850.3,148207.9945,7.08,7.51,51048.0,16476.5,6726.0,203592.0,5830.484375,11116.105,0.9796791672706604,0.7156200408935547,0.9994381666183472,1.8420259952545166,1.005031704902649,0.7222853302955627,0.9947163462638856,1.0933104554812114,2.431046166272589,10.877697841726619,31477.679999999997,5.0,65.0,24.0,45.4,3.31,49.7,,0.56,635.0,18.38829231262207,7.6,0.9832214765100671,0.9417040358744395,0.4083333333333333,0.9327731092436974,0.9563636363636364,15904.800000000003,53743.1,6546.299999999999,18849.4,23448.5,5706.900000000001,705.351,1655.5625,64732.49375,36444.28,23.8,39.1,79.5,79.0,74.15,82.6,27.5,57.2,7.439999999999999,6.35,,513.5,477.75,14121.25,31053.75,63860.0,57259.88269695313,4938.166666666667,5116.333333333333,45521.60674407773,20911.345052083332,1721.125,7.244777679443359,717.7084350585938,139000.0,2979.0,41422.0,298.0,154985.0,1115.0,76450.0,550.0,84.4,7339.2,52.8,11676.0,84.0,,,1157.87,8.33,96466.0,694.0,7.58,0.2672645739910314,0,9952,9915,9890,9888,88
