INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;P77;P24;PHT07;PHT13;PHT18;PHT24;PMAX10;PMAX20;PMAX30;PMAX60;PMAX2H;PMAX6H;PMAX12H;PINTMAX;PHINT;DIR;VEL;PDUR;PH01;PH02;PH03;PH04;PH05;PH06;PH07;PH08;PH09;PH10;PH11;PH12;PH13;PH14;PH15;PH16;PH17;PH18;PH19;PH20;PH21;PH22;PH23;PH24;Lluvia;Nieve;Granizo;Tormenta;Niebla;Rocio;Escarcha;NieveSuelo;Neblina;Calima;VientoFuerte;Polvareda;MetPrecNoEspec;Otros
9434;2018;4;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
9434;2018;4;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
9434;2018;4;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
9434;2018;4;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;-3;-3;0;0;-3;0;-3;-3;-3;-3;-3;-3;-3;-3;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;-3;0;0;0;0;0;0;0;0;5;;;;;;;;;;1;;;
9434;2018;4;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
9434;2018;4;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;8;6;0;0;4;2;2;4;4;4;4;4;6;12;9999;;;44;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;-3;4;-3;0;0;-3;-3;-3;2;0;5;;;1;;;;;;;;;;
9434;2018;4;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;288;214;2;0;4;208;36;38;44;82;114;210;212;216;1805;30;9;613;0;0;0;0;0;2;-3;0;0;0;0;0;0;0;0;-3;-3;4;80;32;30;26;14;26;1;;;1;;;;;;;1;;;
9434;2018;4;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;-3;76;76;-3;-3;0;8;14;18;28;46;74;76;48;46;31;15;420;26;16;24;6;2;-3;2;-3;0;0;0;0;0;0;0;0;-3;0;0;0;0;0;0;0;1;;;;;;;;;;;;;
9434;2018;4;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;12;12;0;10;0;2;6;6;8;8;10;10;10;36;705;27;10;40;0;0;0;0;0;0;0;8;2;-3;0;0;0;0;0;0;0;0;0;2;0;-3;0;0;1;;;;;;;;;;1;;;
9434;2018;4;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;264;112;-3;26;24;62;8;14;20;30;46;62;94;48;9999;;;1010;0;0;0;-3;0;0;0;0;0;-3;8;10;8;8;6;6;2;2;8;2;2;4;16;30;1;;;;;;;;;;;;;
9434;2018;4;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;408;560;152;128;186;94;10;20;30;48;88;250;384;60;9999;;;1920;10;24;18;14;48;30;8;18;28;26;20;16;20;22;40;44;44;36;40;46;8;0;0;0;1;;;;;;;;;;1;;;
9434;2018;4;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;32;-3;-3;-3;0;0;-3;-3;-3;-3;-3;-3;-3;-3;;;;;-3;-3;-3;0;-3;-3;-3;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;
