INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;PRES00;PRES07;PRES13;PRES18;PRESMAX;HPRESMAX;PRESMIN;HPRESMIN
9434;2018;4;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;9877;9875;9848;9816;9879;9;9815;18
9434;2018;4;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;9817;9793;9773;9753;9817;0;9747;16
9434;2018;4;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;9769;9769;9765;9743;9779;11;9741;17
9434;2018;4;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;9771;9795;9817;9827;9878;24;9771;99
9434;2018;4;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;9878;9903;9878;9851;9909;8;9848;99
9434;2018;4;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;9848;9837;9801;9785;9850;1;9777;19
9434;2018;4;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;9799;9770;9760;9750;9801;1;9743;16
9434;2018;4;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;9771;9762;9761;9750;9771;99;9747;99
9434;2018;4;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;9758;9771;9756;9763;9775;10;9747;99
9434;2018;4;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;9767;9726;9693;9659;9767;0;9644;24
9434;2018;4;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;9644;9621;9637;9661;9700;24;9620;6
9434;2018;4;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;9700;9712;9716;9707;9725;99;9696;4
9434;2018;4;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;9722;9746;9770;9787;9841;24;9722;0
9434;2018;4;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;9841;9870;9866;9859;9876;9;9841;0
9434;2018;4;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;9870;9857;9837;9824;9870;0;9818;24
9434;2018;4;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;9818;9840;9866;9879;9914;24;9809;1
9434;2018;4;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;9914;9936;9927;9919;9942;9;9914;0
9434;2018;4;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;9941;9954;9938;9924;9956;9;9922;17
9434;2018;4;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;9946;9946;9931;9914;9948;8;9913;18
9434;2018;4;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;9930;9931;9914;9896;9932;8;9895;16
9434;2018;4;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;9909;9905;9888;9869;9910;0;9868;16
9434;2018;4;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;9884;9880;9868;9854;9884;0;9844;17
9434;2018;4;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;9876;9889;9897;9887;9911;14;9876;99
9434;2018;4;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;9897;9902;9882;9857;9905;8;9857;18
9434;2018;4;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;9872;9892;9873;9873;9910;99;9857;15
9434;2018;4;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;9906;9898;9872;9839;9908;0;9837;18
9434;2018;4;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;9838;9825;9809;9804;9838;0;9794;16
9434;2018;4;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;9828;9818;9780;9744;9828;0;9742;17
9434;2018;4;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;9757;9747;9762;9785;9827;24;9740;4
9434;2018;4;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;9827;9836;9824;9829;9850;99;9812;15
