INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;T00;T01;T02;T03;T04;T05;T06;T07;T08;T09;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;TH00;TH07;TH13;TH18;TMIN_JS;HTMAX;HTMIN
9434;2018;8;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;241;237;233;228;227;219;223;231;242;260;275;293;308;327;339;353;359;360;356;344;325;308;286;265;194;191;225;227;215;1630;520
9434;2018;8;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;251;242;238;233;228;223;229;238;259;273;285;307;329;351;365;380;385;382;372;355;334;318;311;303;200;196;228;238;218;1620;500
9434;2018;8;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;292;277;263;252;245;240;246;254;271;286;310;328;348;363;375;380;388;388;375;349;322;303;288;280;220;206;234;214;214;1640;520
9434;2018;8;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;270;260;258;250;245;238;245;257;273;289;308;327;341;355;361;369;371;362;350;327;304;287;277;270;187;188;224;208;226;1540;440
9434;2018;8;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;261;251;249;243;238;228;234;252;270;285;299;319;333;346;360;369;374;374;371;353;331;316;299;284;183;185;222;220;209;1610;500
9434;2018;8;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;273;267;255;253;239;231;242;264;276;289;307;333;348;362;374;384;387;383;376;354;326;311;295;282;212;200;229;223;211;1610;510
9434;2018;8;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;271;266;260;251;248;243;251;261;277;295;316;332;349;365;378;356;315;322;332;273;244;238;231;225;210;225;236;198;222;1400;2320
9434;2018;8;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;225;224;221;217;216;214;217;222;233;249;272;290;305;328;343;355;353;316;281;239;245;242;243;241;182;174;226;204;208;1530;430
9434;2018;8;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;238;234;230;225;219;217;221;210;224;238;247;264;277;275;283;279;276;273;253;239;227;212;199;194;216;166;180;172;193;1440;2359
9434;2018;8;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;192;190;189;190;187;184;180;185;195;213;230;247;264;279;291;297;301;301;293;281;272;256;246;240;143;142;180;196;181;1620;610
9434;2018;8;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;226;220;214;211;206;201;206;217;235;260;276;294;307;323;330;341;342;344;328;316;299;283;268;256;179;171;228;224;197;1620;510
9434;2018;8;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;249;244;239;238;235;231;234;247;264;276;297;316;335;346;328;173;215;224;234;241;223;217;213;216;219;219;240;196;154;1300;1450
9434;2018;8;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;214;204;197;195;194;195;191;207;224;240;259;277;295;306;316;321;324;316;297;276;249;234;223;219;179;180;209;204;184;1520;540
9434;2018;8;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;212;210;206;202;198;192;194;207;219;232;241;250;256;272;279;282;274;268;256;239;226;216;209;202;164;165;183;174;181;1450;510
9434;2018;8;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;199;196;193;189;181;175;181;197;210;221;238;256;269;283;295;302;306;309;305;285;267;251;236;227;153;157;184;189;160;1650;530
9434;2018;8;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;223;218;210;206;205;210;216;229;243;250;276;290;306;315;327;342;319;306;291;267;261;223;207;209;173;204;228;217;191;1510;2220
9434;2018;8;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;214;213;208;202;200;198;198;210;220;233;240;258;276;282;276;286;271;253;238;215;201;192;186;180;187;167;198;165;171;1440;2359
9434;2018;8;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;176;173;169;168;164;157;156;160;185;200;214;227;239;254;269;278;285;287;277;262;250;238;222;211;134;126;171;180;145;1640;620
9434;2018;8;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;203;197;193;184;174;174;173;183;201;222;237;257;271;289;303;315;317;321;315;299;270;260;242;231;158;146;187;192;163;1700;530
9434;2018;8;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;221;214;209;203;196;190;195;204;220;236;255;269;282;306;311;316;323;325;317;301;272;257;240;232;172;158;200;197;176;1650;510
9434;2018;8;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;227;221;215;208;204;199;201;215;227;243;262;275;292;309;323;331;339;339;330;305;283;263;244;240;178;170;206;211;189;1700;520
9434;2018;8;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;232;233;225;213;205;203;204;223;244;264;280;299;312;327;340;343;348;342;331;302;285;269;260;259;174;185;215;207;183;1620;540
9434;2018;8;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;245;236;230;222;218;219;221;235;246;261;273;290;303;313;330;327;324;313;299;275;260;249;236;229;191;197;218;209;197;1420;350
9434;2018;8;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;224;218;212;211;203;200;199;210;225;239;250;263;275;284;293;292;288;275;249;230;220;211;204;196;176;169;198;175;190;1440;2359
9434;2018;8;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;191;187;185;182;178;175;175;187;198;207;220;238;252;263;253;265;266;259;243;224;212;202;194;189;147;144;170;158;166;1540;510
9434;2018;8;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;184;178;177;170;173;172;163;176;192;207;222;239;256;270;282;293;305;310;300;284;256;247;233;228;138;135;182;189;151;1640;550
9434;2018;8;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;218;225;213;202;190;193;187;199;221;245;264;284;296;314;325;333;336;334;328;306;286;265;249;248;158;165;207;207;160;1610;540
9434;2018;8;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;242;233;227;226;222;219;226;235;240;257;263;276;292;309;327;341;333;302;270;222;229;216;217;228;203;209;235;233;191;1500;2130
9434;2018;8;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;228;217;209;203;205;197;199;207;222;236;257;273;289;301;313;317;315;308;287;279;253;228;219;213;188;174;209;198;181;1500;510
9434;2018;8;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;209;205;200;196;194;191;187;197;213;224;242;256;264;279;292;298;300;301;291;278;261;245;229;219;168;161;196;200;179;1640;550
9434;2018;8;31;ZARAGOZA/AEROPUERTO;249;0100152;413938;212;201;199;193;193;188;186;197;207;223;237;257;269;286;303;304;303;295;280;260;244;232;222;216;167;155;190;189;173;1500;540
