INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;TMAX;TMIN;TMED
9434;2018;8;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;361;218;290
9434;2018;8;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;389;223;306
9434;2018;8;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;392;236;314
9434;2018;8;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;373;238;306
9434;2018;8;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;377;228;302
9434;2018;8;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;389;229;309
9434;2018;8;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;379;222;300
9434;2018;8;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;360;213;286
9434;2018;8;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;286;192;239
9434;2018;8;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;303;179;241
9434;2018;8;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;346;200;273
9434;2018;8;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;347;169;258
9434;2018;8;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;325;191;258
9434;2018;8;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;283;191;237
9434;2018;8;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;310;173;242
9434;2018;8;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;343;198;270
9434;2018;8;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;288;176;232
9434;2018;8;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;288;154;221
9434;2018;8;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;322;171;246
9434;2018;8;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;326;189;258
9434;2018;8;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;341;197;269
9434;2018;8;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;349;201;275
9434;2018;8;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;332;217;274
9434;2018;8;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;297;191;244
9434;2018;8;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;270;173;222
9434;2018;8;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;312;162;237
9434;2018;8;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;337;184;260
9434;2018;8;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;342;211;276
9434;2018;8;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;317;194;256
9434;2018;8;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;303;187;245
9434;2018;8;31;ZARAGOZA/AEROPUERTO;249;0100152;413938;305;184;244
