INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;TMAX;TMIN;TMED
9434;2018;12;1;ZARAGOZA/AEROPUERTO;249;100152;413938;131;45;88
9434;2018;12;2;ZARAGOZA/AEROPUERTO;249;100152;413938;159;49;104
9434;2018;12;3;ZARAGOZA/AEROPUERTO;249;100152;413938;156;51;104
9434;2018;12;4;ZARAGOZA/AEROPUERTO;249;100152;413938;185;67;126
9434;2018;12;5;ZARAGOZA/AEROPUERTO;249;100152;413938;101;68;84
9434;2018;12;6;ZARAGOZA/AEROPUERTO;249;100152;413938;164;74;119
9434;2018;12;7;ZARAGOZA/AEROPUERTO;249;100152;413938;144;41;92
9434;2018;12;8;ZARAGOZA/AEROPUERTO;249;100152;413938;147;91;119
9434;2018;12;9;ZARAGOZA/AEROPUERTO;249;100152;413938;166;55;110
9434;2018;12;10;ZARAGOZA/AEROPUERTO;249;100152;413938;140;60;100
9434;2018;12;11;ZARAGOZA/AEROPUERTO;249;100152;413938;115;16;66
9434;2018;12;12;ZARAGOZA/AEROPUERTO;249;100152;413938;150;53;102
9434;2018;12;13;ZARAGOZA/AEROPUERTO;249;100152;413938;121;68;94
9434;2018;12;14;ZARAGOZA/AEROPUERTO;249;100152;413938;130;68;99
9434;2018;12;15;ZARAGOZA/AEROPUERTO;249;100152;413938;127;38;82
9434;2018;12;16;ZARAGOZA/AEROPUERTO;249;100152;413938;173;85;129
9434;2018;12;17;ZARAGOZA/AEROPUERTO;249;100152;413938;111;34;72
9434;2018;12;18;ZARAGOZA/AEROPUERTO;249;100152;413938;82;9;46
9434;2018;12;19;ZARAGOZA/AEROPUERTO;249;100152;413938;150;46;98
9434;2018;12;20;ZARAGOZA/AEROPUERTO;249;100152;413938;149;48;98
9434;2018;12;21;ZARAGOZA/AEROPUERTO;249;100152;413938;148;42;95
9434;2018;12;22;ZARAGOZA/AEROPUERTO;249;100152;413938;156;40;98
9434;2018;12;23;ZARAGOZA/AEROPUERTO;249;100152;413938;140;38;89
9434;2018;12;24;ZARAGOZA/AEROPUERTO;249;100152;413938;139;13;76
9434;2018;12;25;ZARAGOZA/AEROPUERTO;249;100152;413938;53;34;44
9434;2018;12;26;ZARAGOZA/AEROPUERTO;249;100152;413938;66;34;50
9434;2018;12;27;ZARAGOZA/AEROPUERTO;249;100152;413938;59;40;50
9434;2018;12;28;ZARAGOZA/AEROPUERTO;249;100152;413938;114;36;75
9434;2018;12;29;ZARAGOZA/AEROPUERTO;249;100152;413938;140;12;76
9434;2018;12;30;ZARAGOZA/AEROPUERTO;249;100152;413938;109;-9;50
9434;2018;12;31;ZARAGOZA/AEROPUERTO;249;100152;413938;64;-20;22
