INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;PRES00;PRES07;PRES13;PRES18;PRESMAX;HPRESMAX;PRESMIN;HPRESMIN
9434;2018;7;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;9793;9805;9787;9778;9829;17;9775;15
9434;2018;7;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;9805;9835;9831;9820;9849;24;9804;1
9434;2018;7;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;9849;9867;9848;9820;9869;8;9819;18
9434;2018;7;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;9844;9847;9814;9817;9878;24;9796;16
9434;2018;7;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;9878;9896;9890;9883;9920;24;9877;2
9434;2018;7;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;9919;9919;9900;9875;9921;8;9875;18
9434;2018;7;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;9901;9905;9880;9855;9907;6;9851;17
9434;2018;7;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;9897;9904;9886;9870;9905;7;9862;17
9434;2018;7;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;9888;9898;9875;9863;9899;6;9862;99
9434;2018;7;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;9883;9883;9857;9844;9883;99;9843;17
9434;2018;7;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;9861;9857;9831;9822;9861;0;9816;15
9434;2018;7;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;9848;9856;9850;9836;9868;24;9832;17
9434;2018;7;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;9868;9878;9858;9836;9879;6;9831;17
9434;2018;7;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;9865;9871;9851;9825;9873;8;9822;19
9434;2018;7;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;9842;9857;9825;9803;9858;7;9802;19
9434;2018;7;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;9838;9853;9868;9878;9902;23;9830;3
9434;2018;7;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;9900;9898;9873;9842;9900;0;9841;99
9434;2018;7;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;9847;9852;9820;9838;9859;24;9808;14
9434;2018;7;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;9859;9863;9834;9809;9863;7;9807;17
9434;2018;7;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;9848;9851;9831;9836;9864;24;9817;15
9434;2018;7;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;9863;9864;9850;9844;9867;23;9838;17
9434;2018;7;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;9866;9861;9852;9838;9874;24;9834;17
9434;2018;7;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;9872;9877;9845;9814;9878;7;9814;18
9434;2018;7;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;9823;9836;9818;9804;9849;23;9800;17
9434;2018;7;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;9848;9862;9837;9808;9864;99;9807;18
9434;2018;7;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;9827;9836;9812;9788;9837;99;9787;17
9434;2018;7;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;9828;9835;9807;9784;9835;7;9781;17
9434;2018;7;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;9811;9835;9830;9816;9839;11;9810;1
9434;2018;7;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;9835;9845;9827;9812;9849;24;9811;17
9434;2018;7;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;9849;9866;9845;9820;9867;8;9820;18
9434;2018;7;31;ZARAGOZA/AEROPUERTO;249;0100152;413938;9844;9867;9853;9837;9872;8;9834;17
