INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;T00;T01;T02;T03;T04;T05;T06;T07;T08;T09;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;TH00;TH07;TH13;TH18;TMIN_JS;HTMAX;HTMIN
9434;2018;7;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;234;228;219;213;207;202;217;234;256;274;291;305;318;317;312;286;303;;210;223;223;224;225;214;177;184;213;207;153;1330;1720
9434;2018;7;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;213;209;202;195;191;192;209;230;241;254;268;278;292;307;310;322;330;321;318;306;293;278;270;262;202;175;198;196;174;1540;340
9434;2018;7;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;248;246;237;230;216;218;230;240;250;265;278;295;307;317;333;337;340;339;333;310;293;281;267;248;180;180;199;208;187;1550;420
9434;2018;7;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;243;232;226;221;215;210;218;228;247;261;278;295;315;330;338;347;361;356;290;265;242;232;223;214;197;192;208;195;199;1600;510
9434;2018;7;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;213;208;207;203;196;192;201;212;223;237;249;258;266;274;285;291;290;286;272;252;229;215;208;203;170;168;183;180;184;1520;500
9434;2018;7;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;198;193;187;187;184;184;192;206;217;228;245;260;268;286;296;308;313;314;304;292;276;260;251;236;154;158;189;188;173;1630;440
9434;2018;7;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;225;216;212;206;202;200;204;216;229;249;261;270;282;303;320;331;330;328;317;299;275;245;242;238;174;171;211;199;191;1630;430
9434;2018;7;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;222;216;212;211;209;203;213;228;243;260;279;297;310;321;328;335;338;340;320;301;294;282;259;251;192;192;213;214;188;1700;500
9434;2018;7;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;231;230;220;216;205;193;198;217;243;262;276;292;308;319;330;333;333;324;316;298;285;268;251;242;196;193;203;203;190;1510;440
9434;2018;7;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;242;236;233;225;217;211;218;229;247;261;276;291;306;321;321;330;326;320;311;298;278;261;249;239;178;175;208;201;198;1500;440
9434;2018;7;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;232;225;219;212;207;199;202;221;235;250;263;280;296;310;321;320;296;239;259;251;248;247;223;220;174;170;200;214;192;1430;500
9434;2018;7;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;218;213;204;204;202;195;206;209;217;234;248;268;279;292;302;312;317;318;304;295;286;273;256;240;198;186;213;209;190;1700;500
9434;2018;7;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;231;220;214;203;202;203;207;222;237;253;271;289;303;309;311;324;330;325;310;294;278;267;257;253;184;182;215;196;197;1620;430
