INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;T00;T01;T02;T03;T04;T05;T06;T07;T08;T09;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;TH00;TH07;TH13;TH18;TMIN_JS;HTMAX;HTMIN
9434;2018;6;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;183;177;166;160;158;156;170;182;203;222;236;250;264;268;264;252;246;244;226;221;219;207;196;189;167;167;195;192;146;1250;440
9434;2018;6;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;181;177;171;175;171;171;171;186;196;210;226;237;250;253;267;263;273;264;256;214;199;199;192;185;165;165;184;180;166;1640;210
9434;2018;6;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;182;174;167;159;156;152;169;181;194;203;225;226;247;258;255;245;237;239;225;209;202;197;194;183;162;160;188;170;142;1430;440
9434;2018;6;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;178;173;170;169;166;166;180;192;205;218;235;242;258;266;270;267;278;270;263;239;230;218;205;196;157;166;173;166;156;1544;440
9434;2018;6;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;193;183;177;174;170;166;166;173;179;188;206;220;223;224;231;235;232;235;230;196;182;179;170;171;156;135;155;152;163;1440;550
9434;2018;6;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;167;165;164;158;151;148;146;156;163;169;179;193;217;224;231;197;190;201;199;185;179;180;184;180;132;128;154;159;146;1330;530
9434;2018;6;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;176;171;165;168;162;160;164;180;195;206;222;235;246;256;248;260;258;254;222;228;213;207;206;199;147;143;171;167;147;1620;440
9434;2018;6;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;196;190;186;180;172;170;181;190;199;211;223;230;233;238;252;265;262;261;253;241;237;227;215;216;164;166;182;186;158;1520;430
9434;2018;6;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;196;188;187;183;187;184;197;214;232;241;253;258;252;240;241;244;260;238;210;195;177;171;165;164;161;179;184;185;167;1050;2340
9434;2018;6;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;163;164;165;165;164;163;165;167;180;184;190;187;196;199;190;183;207;209;214;204;193;188;180;169;155;154;166;174;151;1800;0
9434;2018;6;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;166;156;158;146;138;134;164;182;192;206;219;229;234;235;215;230;228;228;220;202;194;186;184;180;147;149;165;168;119;1230;500
9434;2018;6;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;176;172;171;169;154;145;165;182;191;193;205;213;221;240;245;250;252;238;220;210;193;187;178;177;144;152;166;150;136;1540;450
9434;2018;6;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;172;171;162;163;164;164;173;179;186;191;193;203;210;214;219;218;217;214;209;197;182;173;165;160;132;137;153;144;146;1420;2350
9434;2018;6;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;155;151;150;149;146;147;158;166;177;193;209;218;232;238;245;245;239;234;227;215;201;188;178;171;119;123;162;155;129;1410;340
9434;2018;6;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;167;162;159;158;155;148;164;178;196;217;231;244;257;269;274;280;283;268;242;229;212;201;192;188;130;124;171;175;126;1520;500
9434;2018;6;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;188;183;179;174;170;167;178;187;201;216;230;246;256;265;268;273;274;258;255;240;218;197;187;177;154;152;178;159;152;1530;440
9434;2018;6;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;168;161;154;152;152;153;162;175;189;202;214;229;249;256;265;269;274;266;259;250;227;210;194;185;127;137;170;157;137;1600;440
9434;2018;6;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;174;171;170;172;166;166;179;191;210;226;245;257;270;273;272;271;265;258;245;229;209;203;198;192;125;138;182;173;150;1420;420
9434;2018;6;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;187;181;178;177;174;169;182;191;203;219;235;248;262;275;294;306;313;316;318;308;279;260;240;224;152;150;187;198;152;1740;500
9434;2018;6;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;219;214;201;195;190;184;207;227;248;268;286;301;315;324;331;336;339;337;331;319;295;269;259;236;170;183;202;198;155;1530;500
9434;2018;6;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;219;214;205;198;191;183;204;222;241;259;277;301;318;331;342;347;353;352;350;341;311;288;255;243;159;167;200;211;159;1600;510
9434;2018;6;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;233;226;221;215;212;210;215;225;243;258;275;291;302;314;322;327;320;316;303;288;263;243;228;220;186;186;213;195;198;1430;430
9434;2018;6;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;213;210;204;198;186;181;194;207;220;237;256;270;285;301;313;322;325;326;324;314;288;271;250;233;165;152;202;191;161;1630;450
9434;2018;6;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;214;203;193;184;181;174;190;207;215;233;252;267;280;293;312;317;328;331;329;324;293;268;268;252;162;153;205;210;151;1650;510
9434;2018;6;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;240;231;221;214;199;191;205;224;242;259;277;288;299;314;323;340;339;344;343;335;308;274;263;256;163;176;213;208;165;1730;510
9434;2018;6;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;242;228;215;201;190;191;204;214;230;246;266;282;301;314;328;342;340;342;336;318;296;283;265;252;175;183;225;215;177;1720;420
9434;2018;6;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;240;232;226;220;216;212;216;238;253;263;283;296;313;327;314;289;296;295;290;268;249;243;235;231;194;192;223;214;204;1330;540
9434;2018;6;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;221;214;210;206;202;198;205;216;226;241;253;271;288;306;293;292;293;288;277;273;258;241;226;218;186;180;209;200;191;1310;450
9434;2018;6;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;209;204;205;208;192;188;198;205;234;250;271;290;304;303;292;320;314;297;282;276;267;256;245;228;172;184;201;211;182;1520;440
9434;2018;6;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;221;213;204;200;193;189;207;228;243;261;278;297;315;326;336;335;333;323;311;291;275;265;254;242;175;191;214;197;174;1410;500
