INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;PRES00;PRES07;PRES13;PRES18;PRESMAX;HPRESMAX;PRESMIN;HPRESMIN
9434;2018;3;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;9650;9615;9572;9540;9650;0;9537;17
9434;2018;3;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;9636;9702;9691;9669;9711;10;9636;0
9434;2018;3;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;9650;9682;9703;9688;9711;11;9649;3
9434;2018;3;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;9677;9658;9671;9677;9684;20;9653;5
9434;2018;3;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;9665;9631;9605;9612;9666;24;9596;99
9434;2018;3;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;9666;9686;9676;9685;9728;24;9666;0
9434;2018;3;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;9728;9776;9798;9792;9805;11;9728;0
9434;2018;3;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;9790;9794;9793;9789;9814;24;9775;3
9434;2018;3;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;9814;9818;9804;9784;9821;9;9764;24
9434;2018;3;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;9765;9751;9732;9716;9766;0;9716;18
9434;2018;3;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;9720;9713;9701;9704;9743;24;9694;14
9434;2018;3;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;9743;9787;9823;9833;9856;22;9743;0
9434;2018;3;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;9851;9851;9848;9843;9859;11;9837;99
9434;2018;3;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;9846;9820;9765;9702;9846;0;9685;24
9434;2018;3;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;9685;9690;9695;9712;9734;23;9679;4
9434;2018;3;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;9730;9747;9741;9732;9753;9;9727;99
9434;2018;3;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;9736;9716;9683;9689;9736;0;9672;15
9434;2018;3;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;9696;9714;9733;9759;9793;24;9693;3
9434;2018;3;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;9792;9770;9727;9748;9792;0;9712;14
9434;2018;3;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;9767;9785;9822;9866;9905;23;9767;0
9434;2018;3;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;9903;9921;9922;9931;9959;20;9897;3
9434;2018;3;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;9948;9924;9901;9878;9948;0;9864;24
9434;2018;3;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;9865;9843;9794;9737;9866;0;9678;24
9434;2018;3;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;9678;9681;9692;9702;9744;24;9657;2
9434;2018;3;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;9744;9771;9792;9812;9851;24;9743;1
9434;2018;3;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;9851;9883;9899;9919;9935;99;9851;0
9434;2018;3;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;9930;9924;9923;9915;9934;9;9910;99
9434;2018;3;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;9910;9884;9837;9799;9910;0;9799;18
9434;2018;3;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;9826;9813;9783;9751;9827;1;9747;21
9434;2018;3;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;9751;9754;9734;9707;9761;99;9706;17
9434;2018;3;31;ZARAGOZA/AEROPUERTO;249;0100152;413938;9711;9752;9811;9833;9878;24;9709;0
