INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;HU00;HU01;HU02;HU03;HU04;HU05;HU06;HU07;HU08;HU09;HU10;HU11;HU12;HU13;HU14;HU15;HU16;HU17;HU18;HU19;HU20;HU21;HU22;HU23;HUMAX;HHUMAX;HUMIN;HHUMIN
9434;2018;5;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;72;76;79;78;73;73;71;68;62;55;50;44;40;33;33;32;34;35;36;41;45;48;53;57;79;150;30;1310
9434;2018;5;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;59;64;71;73;74;77;74;67;61;56;45;35;34;31;31;34;34;38;42;52;57;61;64;66;77;440;30;1310
9434;2018;5;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;72;77;76;77;78;74;68;53;51;46;43;46;47;49;45;43;41;44;44;49;51;55;57;59;78;9999;41;1600
9434;2018;5;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;59;61;60;60;59;61;59;57;54;50;44;41;39;38;39;40;41;42;47;50;53;55;56;57;62;220;38;9999
9434;2018;5;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;58;61;64;64;67;69;67;64;58;53;51;48;46;44;41;39;40;42;45;57;63;66;65;69;70;510;38;1450
9434;2018;5;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;67;70;73;72;72;73;71;64;60;54;52;49;43;37;35;34;33;46;44;45;53;57;61;64;74;150;32;1530
9434;2018;5;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;69;66;70;73;76;80;83;77;68;63;66;49;48;42;42;37;40;39;42;49;56;65;66;65;83;9999;37;1500
9434;2018;5;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;65;73;74;73;78;80;75;77;71;64;58;50;45;41;40;42;43;47;53;60;62;67;72;71;80;450;39;1320
9434;2018;5;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;73;75;76;76;76;76;70;60;57;52;50;48;46;44;40;41;41;42;44;51;56;57;57;56;77;330;38;1420
9434;2018;5;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;58;63;64;66;64;65;61;54;51;51;51;46;43;39;42;42;41;44;48;49;53;58;63;68;68;2330;38;1250
9434;2018;5;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;68;72;74;76;81;83;79;74;63;56;50;45;43;41;38;38;36;35;41;52;58;62;62;62;85;520;35;1700
9434;2018;5;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;73;70;71;76;81;84;83;77;76;69;59;46;53;46;44;46;47;69;77;64;55;55;56;59;85;510;44;1330
9434;2018;5;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;64;66;66;68;67;69;68;55;52;46;41;37;35;33;32;29;35;36;39;42;47;52;56;60;70;240;29;1430
9434;2018;5;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;61;67;69;71;74;77;76;70;58;52;45;44;36;32;29;32;35;37;47;51;53;52;52;55;78;520;29;1400
9434;2018;5;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;57;60;62;62;62;61;60;55;52;50;50;49;48;45;42;44;46;48;50;53;57;58;55;57;63;210;42;1350
9434;2018;5;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;58;61;64;62;64;67;65;62;58;54;51;48;44;42;40;37;36;39;42;48;54;59;65;68;70;2340;36;1600
9434;2018;5;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;70;69;70;74;75;76;76;71;64;61;53;48;45;41;35;37;34;37;43;49;54;60;59;63;76;530;34;1600
9434;2018;5;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;69;70;70;73;70;72;72;70;68;64;63;68;64;50;43;39;36;43;45;49;55;67;63;66;74;310;34;1530
9434;2018;5;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;71;71;67;69;75;74;75;72;67;58;54;52;44;39;34;36;32;30;50;59;71;82;82;78;86;2210;29;1650
9434;2018;5;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;83;79;79;77;75;76;70;68;66;62;57;53;48;44;38;36;40;46;50;51;55;58;61;71;84;20;36;1500
9434;2018;5;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;73;76;79;82;80;84;78;73;70;64;57;47;42;39;33;32;59;67;69;64;70;72;79;77;84;450;31;1450
