INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;PRES00;PRES07;PRES13;PRES18;PRESMAX;HPRESMAX;PRESMIN;HPRESMIN
9434;2018;11;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;9780;9829;9856;9875;9886;21;9780;0
9434;2018;11;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;9879;9889;9901;9921;9935;22;9878;2
9434;2018;11;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;9929;9923;9904;9892;9929;0;9883;24
9434;2018;11;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;9883;9856;9815;9785;9883;0;9767;24
9434;2018;11;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;9769;9733;9732;9725;9769;0;9720;99
9434;2018;11;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;9749;9783;9801;9817;9825;22;9748;0
9434;2018;11;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;9818;9816;9838;9856;9888;99;9806;4
9434;2018;11;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;9888;9887;9861;9833;9893;9;9819;22
9434;2018;11;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;9826;9852;9853;9856;9864;9;9821;1
9434;2018;11;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;9847;9828;9810;9818;9847;0;9806;14
9434;2018;11;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;9833;9837;9825;9819;9850;11;9812;16
9434;2018;11;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;9827;9859;9862;9875;9911;24;9827;0
9434;2018;11;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;9911;9941;9952;9956;9963;20;9911;0
9434;2018;11;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;9960;9946;9925;9914;9960;0;9907;24
9434;2018;11;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;9907;9898;9896;9897;9915;23;9892;16
9434;2018;11;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;9914;9908;9903;9893;9916;9;9891;17
9434;2018;11;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;9894;9882;9857;9833;9894;0;9819;24
9434;2018;11;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;9819;9799;9793;9784;9819;0;9778;24
9434;2018;11;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;9778;9748;9719;9701;9778;0;9699;19
9434;2018;11;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;9703;9703;9700;9717;9752;24;9693;15
9434;2018;11;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;9752;9784;9807;9824;9852;24;9752;0
9434;2018;11;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;9852;9863;9858;9856;9876;10;9846;24
9434;2018;11;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;9846;9829;9831;9842;9860;99;9827;14
9434;2018;11;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;9860;9860;9851;9836;9868;10;9820;24
9434;2018;11;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;9820;9786;9794;9783;9820;0;9770;23
9434;2018;11;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;9773;9775;9824;9868;9910;24;9740;4
9434;2018;11;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;9910;9911;9911;9912;9919;9;9906;4
9434;2018;11;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;9918;9921;9914;9910;9931;10;9904;15
9434;2018;11;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;9914;9910;9884;9870;9915;10;9867;23
9434;2018;11;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;9869;9874;9888;9914;9935;23;9864;99
