INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;TMAX;TMIN;TMED
9434;2018;9;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;320;186;253
9434;2018;9;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;332;185;258
9434;2018;9;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;314;195;254
9434;2018;9;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;305;181;243
9434;2018;9;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;301;189;245
9434;2018;9;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;281;179;230
9434;2018;9;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;282;168;225
9434;2018;9;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;296;171;234
9434;2018;9;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;295;194;244
9434;2018;9;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;294;191;242
9434;2018;9;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;269;189;229
9434;2018;9;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;277;189;233
9434;2018;9;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;293;191;242
9434;2018;9;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;300;170;235
9434;2018;9;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;284;174;229
9434;2018;9;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;317;159;238
9434;2018;9;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;311;184;248
9434;2018;9;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;308;185;246
9434;2018;9;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;320;181;250
9434;2018;9;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;328;182;255
9434;2018;9;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;315;191;253
9434;2018;9;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;313;183;248
9434;2018;9;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;343;189;266
9434;2018;9;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;252;149;200
9434;2018;9;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;235;121;178
9434;2018;9;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;270;163;216
9434;2018;9;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;288;152;220
9434;2018;9;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;292;150;221
9434;2018;9;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;289;174;232
9434;2018;9;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;273;151;212
