INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;HU00;HU01;HU02;HU03;HU04;HU05;HU06;HU07;HU08;HU09;HU10;HU11;HU12;HU13;HU14;HU15;HU16;HU17;HU18;HU19;HU20;HU21;HU22;HU23;HUMAX;HHUMAX;HUMIN;HHUMIN
9434;2019;4;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;95;95;95;95;96;97;97;97;93;89;82;78;72;72;68;68;71;72;73;77;83;85;88;92;97;9999;67;1440
9434;2019;4;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;92;91;93;94;96;99;97;95;96;91;81;71;57;50;47;45;48;50;57;69;71;71;67;71;99;450;44;1440
9434;2019;4;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;73;76;77;79;80;80;82;77;74;66;65;67;83;86;79;74;69;85;81;80;74;73;67;71;87;1300;61;1110
9434;2019;4;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;71;71;70;72;76;76;78;73;57;53;48;37;34;37;31;29;24;25;33;36;38;40;43;46;78;550;23;1640
9434;2019;4;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;54;57;60;65;69;70;69;69;73;73;62;57;55;84;90;90;89;91;90;90;88;95;93;95;95;9999;53;10
9434;2019;4;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;90;86;76;73;78;82;75;76;69;60;50;47;45;42;40;37;68;74;67;75;69;70;71;75;91;10;36;1520
9434;2019;4;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;73;72;84;87;90;90;91;87;75;72;56;49;44;41;37;39;38;37;43;48;56;56;59;56;92;530;37;9999
9434;2019;4;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;61;75;81;88;90;89;92;92;88;88;84;71;62;58;50;51;74;60;76;82;84;89;88;88;93;630;45;1420
9434;2019;4;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;82;69;72;71;74;77;73;67;60;50;53;41;40;55;39;42;41;56;68;65;72;76;83;80;87;2150;39;9999
9434;2019;4;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;83;77;77;74;79;79;76;75;74;78;67;60;51;49;49;46;42;42;46;46;59;64;67;71;83;0;42;1630
9434;2019;4;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;74;74;72;73;73;74;75;71;64;54;51;48;48;45;47;45;51;47;55;63;66;63;67;68;77;230;44;1450
9434;2019;4;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;70;70;71;71;73;72;71;69;64;58;52;44;40;37;36;34;33;35;38;45;50;54;56;57;73;400;33;9999
9434;2019;4;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;60;62;60;65;63;59;64;55;43;41;31;23;22;22;16;13;15;9;14;25;18;22;34;37;65;300;9;1700
9434;2019;4;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;42;50;51;51;61;55;57;57;54;36;34;30;33;31;31;31;33;38;44;50;59;59;62;65;70;2350;29;1120
9434;2019;4;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;70;76;77;82;84;88;85;81;75;66;58;50;46;44;47;43;47;64;59;58;66;72;73;78;88;450;43;9999
9434;2019;4;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;80;74;74;89;87;85;83;74;69;58;55;50;46;42;41;38;37;35;38;41;53;53;56;59;89;300;33;1720
9434;2019;4;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;64;73;78;81;83;85;85;78;71;70;61;56;52;50;47;46;49;49;54;61;66;69;70;73;86;510;46;9999
9434;2019;4;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;76;79;82;84;86;85;84;78;80;78;53;54;51;43;44;43;40;41;43;48;49;49;54;76;86;350;39;1530
9434;2019;4;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;73;79;89;91;94;95;95;93;90;84;69;60;60;52;51;48;49;41;45;48;56;60;69;74;95;530;41;1700
9434;2019;4;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;77;79;80;82;84;85;84;71;70;51;44;36;33;33;32;35;31;33;47;57;61;64;81;87;91;2350;31;1550
9434;2019;4;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;91;93;96;96;96;96;96;95;94;91;88;86;83;73;74;74;73;73;74;75;78;79;77;78;97;350;72;1520
9434;2019;4;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;79;80;81;80;79;82;80;76;75;74;71;69;70;70;54;47;50;49;49;58;68;68;69;73;82;440;46;1450
9434;2019;4;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;80;84;88;90;92;91;91;87;78;73;68;64;61;74;49;53;61;75;57;56;48;55;53;57;92;340;46;1950
9434;2019;4;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;62;66;69;68;68;63;57;52;50;51;52;52;56;46;52;50;53;56;51;50;53;64;78;84;87;9999;46;1300
9434;2019;4;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;87;83;83;90;89;80;82;69;61;53;48;43;42;41;45;43;42;43;45;46;51;50;55;51;94;330;39;1140
9434;2019;4;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;54;52;53;56;58;59;59;55;47;49;44;38;38;39;38;40;37;36;41;46;60;65;65;67;69;2340;36;1650
9434;2019;4;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;69;69;70;69;71;72;69;62;60;56;51;49;46;44;43;42;42;42;43;46;51;55;57;60;72;440;39;1520
9434;2019;4;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;62;65;68;70;69;70;67;61;56;53;49;45;34;29;28;30;30;32;36;41;46;53;51;50;70;9999;26;1340
9434;2019;4;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;52;56;65;65;71;73;71;63;59;56;52;48;44;40;38;31;33;33;32;36;43;48;51;58;74;510;31;1440
9434;2019;4;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;63;65;71;69;74;75;74;66;61;54;47;40;35;31;28;22;16;15;20;24;30;38;42;46;76;530;13;1640
