INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;HU00;HU01;HU02;HU03;HU04;HU05;HU06;HU07;HU08;HU09;HU10;HU11;HU12;HU13;HU14;HU15;HU16;HU17;HU18;HU19;HU20;HU21;HU22;HU23;HUMAX;HHUMAX;HUMIN;HHUMIN
9434;2019;8;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;68;73;76;79;78;78;79;76;65;66;57;51;44;38;35;30;29;33;43;48;55;61;63;66;80;310;28;1620
9434;2019;8;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;68;69;69;71;71;73;71;69;63;57;52;47;42;38;34;30;27;24;27;29;29;30;42;48;73;500;22;1720
9434;2019;8;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;52;58;60;64;69;71;68;65;57;51;42;38;33;31;25;26;23;22;24;35;40;48;54;57;72;510;22;9999
9434;2019;8;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;60;61;62;63;62;66;65;64;59;54;48;44;39;33;28;22;19;18;19;34;42;43;53;57;66;500;18;1700
9434;2019;8;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;61;63;65;66;68;68;67;64;61;57;51;48;42;36;27;25;23;23;24;35;36;39;43;58;69;520;21;1620
9434;2019;8;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;63;64;64;63;62;63;62;62;60;54;47;43;38;33;30;24;23;21;24;27;41;39;51;60;64;130;21;1650
9434;2019;8;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;61;63;63;58;58;58;58;56;54;50;50;44;37;33;34;40;45;44;48;37;30;30;31;33;64;130;30;2030
9434;2019;8;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;36;38;46;49;52;54;53;55;47;35;31;28;28;26;24;22;22;28;29;27;28;31;36;41;56;630;22;1530
9434;2019;8;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;48;51;55;53;55;56;59;49;45;39;26;24;22;21;21;21;22;23;39;44;55;62;59;51;62;9999;21;9999
9434;2019;8;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;53;54;56;56;55;54;58;56;52;49;43;40;34;35;33;32;31;31;32;36;35;48;55;58;63;2359;30;1510
9434;2019;8;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;63;63;64;65;66;67;66;65;60;59;51;50;41;39;32;31;28;32;35;40;44;52;56;60;68;520;28;1600
9434;2019;8;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;61;60;59;59;60;61;60;55;51;48;45;40;37;34;32;28;30;34;36;40;50;54;57;57;61;9999;28;1500
9434;2019;8;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;57;56;54;53;53;52;53;54;54;52;46;39;37;33;31;29;27;28;28;33;39;45;50;54;57;0;26;1610
9434;2019;8;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;50;48;52;55;59;63;62;50;46;44;40;32;27;23;22;21;21;23;24;32;36;39;44;52;64;520;21;1530
9434;2019;8;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;58;60;63;65;67;69;67;64;61;55;52;47;42;38;32;28;27;28;31;32;36;41;45;48;69;440;25;1640
9434;2019;8;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;49;55;55;57;60;61;62;57;57;50;45;38;26;24;21;30;23;22;24;28;33;34;43;54;63;530;19;1340
9434;2019;8;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;56;53;56;58;58;59;57;57;59;55;47;43;37;33;27;21;24;23;27;40;46;54;63;69;72;2359;21;1500
9434;2019;8;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;72;74;74;75;76;78;80;73;67;60;51;44;33;28;25;25;23;22;26;47;53;56;61;62;81;540;22;9999
9434;2019;8;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;61;63;63;63;63;65;64;59;55;52;47;45;44;40;40;39;40;42;49;52;61;72;80;86;89;2250;39;9999
9434;2019;8;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;88;92;94;95;97;96;96;97;95;88;76;70;62;61;55;51;49;45;46;50;62;64;64;66;98;620;43;1730
9434;2019;8;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;69;70;68;68;69;71;69;67;63;61;55;55;51;48;46;48;51;54;56;58;61;59;60;63;72;510;46;1400
9434;2019;8;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;63;61;60;60;66;68;69;65;62;50;46;41;37;37;33;29;30;27;25;36;41;42;42;50;70;530;25;1730
9434;2019;8;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;56;58;56;63;73;75;78;71;63;53;44;41;35;34;32;28;22;23;23;25;31;45;43;56;80;540;19;1610
9434;2019;8;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;62;70;73;73;74;77;77;69;63;57;49;45;35;32;24;21;19;17;23;25;28;35;40;50;79;530;14;1630
9434;2019;8;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;57;61;62;67;70;75;72;62;62;54;46;35;32;25;19;24;27;26;30;25;33;34;41;46;75;450;19;1340
9434;2019;8;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;48;52;59;63;69;74;69;65;63;54;49;44;38;40;41;38;37;35;41;41;43;46;49;66;74;500;34;1640
9434;2019;8;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;71;69;68;70;75;80;77;78;68;61;51;44;42;41;38;36;35;33;35;52;58;63;71;72;81;510;32;1710
9434;2019;8;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;75;79;81;80;79;82;86;76;72;65;58;49;45;33;32;31;28;26;27;32;38;43;46;54;86;600;25;1710
9434;2019;8;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;57;57;70;75;78;81;81;75;70;62;58;51;43;38;31;29;29;29;32;34;34;41;44;49;82;530;28;1650
9434;2019;8;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;53;58;60;69;71;74;75;73;69;60;54;47;42;34;29;25;22;23;30;39;44;33;37;40;75;9999;22;1600
9434;2019;8;31;ZARAGOZA/AEROPUERTO;249;0100152;413938;50;54;57;52;55;63;58;54;49;45;39;34;30;27;25;22;21;30;34;35;37;39;44;51;64;2359;20;1550
