INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LATITUD;IND_SYN;P77;P24;PHT07;PHT13;PHT18;PHT24;PMAX10;PMAX20;PMAX30;PMAX60;PMAX2H;PMAX6H;PMAX12H;PINTMAX;PHINT;DIR;VEL;PDUR;PH01;PH02;PH03;PH04;PH05;PH06;PH07;PH08;PH09;PH10;PH11;PH12;PH13;PH14;PH15;PH16;PH17;PH18;PH19;PH20;PH21;PH22;PH23;PH24;FORMA;Lluvia;Nieve;Granizo;Tormenta;Niebla;Rocio;Escarcha;NieveSuelo;Neblina;Calima;VientoFuerte;Polvareda;MetPrecNoEspec;Otros
9434;2019;12;1;ZARAGOZA/AEROPUERTO;249;413938;8160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
9434;2019;12;2;ZARAGOZA/AEROPUERTO;249;413938;8160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;1;;;;;;;;
9434;2019;12;3;ZARAGOZA/AEROPUERTO;249;413938;8160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
9434;2019;12;4;ZARAGOZA/AEROPUERTO;249;413938;8160;64;24;0;4;18;2;4;4;6;10;18;22;24;24;1335;29;19;150;0;0;0;0;0;0;0;0;0;0;0;0;4;10;6;0;0;2;0;0;0;0;0;2;100;1;;;;;;;;;;;;;
9434;2019;12;5;ZARAGOZA/AEROPUERTO;249;413938;8160;2;42;40;2;0;0;2;4;6;12;22;40;42;12;9999;;;330;4;2;10;12;4;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;1;;;;;;;;;;;;;
9434;2019;12;6;ZARAGOZA/AEROPUERTO;249;413938;8160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
9434;2019;12;7;ZARAGOZA/AEROPUERTO;249;413938;8160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;1;;;1;;;;;
9434;2019;12;8;ZARAGOZA/AEROPUERTO;249;413938;8160;12;12;0;0;12;-3;2;4;4;8;12;12;12;12;9999;;;206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;-3;0;0;0;0;0;100;1;;;;1;1;;;1;;;;;
9434;2019;12;9;ZARAGOZA/AEROPUERTO;249;413938;8160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;1;;;
9434;2019;12;10;ZARAGOZA/AEROPUERTO;249;413938;8160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;1;;;
