INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;PRES00;PRES07;PRES13;PRES18;PRESMAX;HPRESMAX;PRESMIN;HPRESMIN
9434;2019;12;1;ZARAGOZA/AEROPUERTO;249;100152;413938;9837;9821;9821;9826;9846;24;9816;99
9434;2019;12;2;ZARAGOZA/AEROPUERTO;249;100152;413938;9845;9870;9874;9884;9904;23;9844;0
9434;2019;12;3;ZARAGOZA/AEROPUERTO;249;100152;413938;9903;9893;9882;9876;9903;0;9868;24
9434;2019;12;4;ZARAGOZA/AEROPUERTO;249;100152;413938;9868;9820;9807;9810;9868;0;9800;16
9434;2019;12;5;ZARAGOZA/AEROPUERTO;249;100152;413938;9845;9880;9898;9913;9932;23;9845;0
9434;2019;12;6;ZARAGOZA/AEROPUERTO;249;100152;413938;9930;9939;9927;9920;9950;10;9917;16
9434;2019;12;7;ZARAGOZA/AEROPUERTO;249;100152;413938;9936;9937;9928;9926;9949;10;9921;16
9434;2019;12;8;ZARAGOZA/AEROPUERTO;249;100152;413938;9941;9938;9917;9927;9945;10;9914;14
9434;2019;12;9;ZARAGOZA/AEROPUERTO;249;100152;413938;9939;9958;9958;9977;9992;23;9936;1
9434;2019;12;10;ZARAGOZA/AEROPUERTO;249;100152;413938;9987;9966;9943;9929;9987;99;9917;24
9434;2019;12;11;ZARAGOZA/AEROPUERTO;249;100152;413938;9917;9888;9897;9909;9917;0;9887;6
9434;2019;12;12;ZARAGOZA/AEROPUERTO;249;100152;413938;9898;9871;9821;9776;9898;0;9750;21
9434;2019;12;13;ZARAGOZA/AEROPUERTO;249;100152;413938;9752;9747;9782;9800;9829;24;9729;5
9434;2019;12;14;ZARAGOZA/AEROPUERTO;249;100152;413938;9827;9855;9851;9846;9869;10;9826;1
9434;2019;12;15;ZARAGOZA/AEROPUERTO;249;100152;413938;9842;9839;9826;9815;9843;0;9807;24
9434;2019;12;16;ZARAGOZA/AEROPUERTO;249;100152;413938;9807;9780;9746;9725;9807;0;9717;21
9434;2019;12;17;ZARAGOZA/AEROPUERTO;249;100152;413938;9722;9725;9751;9793;9833;24;9712;1
9434;2019;12;18;ZARAGOZA/AEROPUERTO;249;100152;413938;9833;9857;9863;9862;9879;10;9832;0
9434;2019;12;19;ZARAGOZA/AEROPUERTO;249;100152;413938;9865;9832;9811;9765;9865;0;9679;24
9434;2019;12;20;ZARAGOZA/AEROPUERTO;249;100152;413938;9679;9674;9701;9677;9723;10;9639;3
9434;2019;12;21;ZARAGOZA/AEROPUERTO;249;100152;413938;9684;9722;9685;9675;9723;8;9663;17
9434;2019;12;22;ZARAGOZA/AEROPUERTO;249;100152;413938;9717;9798;9797;9834;9909;24;9717;0
9434;2019;12;23;ZARAGOZA/AEROPUERTO;249;100152;413938;9909;9949;9951;9952;9973;10;9908;0
9434;2019;12;24;ZARAGOZA/AEROPUERTO;249;100152;413938;9963;9969;9964;9964;9986;10;9958;14
9434;2019;12;25;ZARAGOZA/AEROPUERTO;249;100152;413938;9965;9952;9938;9929;9965;0;9926;99
9434;2019;12;26;ZARAGOZA/AEROPUERTO;249;100152;413938;9934;9947;9977;9990;10003;24;9933;1
9434;2019;12;27;ZARAGOZA/AEROPUERTO;249;100152;413938;10003;9996;9988;9979;10005;11;9979;18
9434;2019;12;28;ZARAGOZA/AEROPUERTO;249;100152;413938;9994;9996;10001;10007;10023;23;9993;14
9434;2019;12;29;ZARAGOZA/AEROPUERTO;249;100152;413938;10020;10031;10023;10017;10045;10;10014;99
9434;2019;12;30;ZARAGOZA/AEROPUERTO;249;100152;413938;10026;10039;10037;10034;10054;10;10024;1
9434;2019;12;31;ZARAGOZA/AEROPUERTO;249;100152;413938;10033;10033;10035;10034;10050;10;10026;15
