INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;HU00;HU01;HU02;HU03;HU04;HU05;HU06;HU07;HU08;HU09;HU10;HU11;HU12;HU13;HU14;HU15;HU16;HU17;HU18;HU19;HU20;HU21;HU22;HU23;HUMAX;HHUMAX;HUMIN;HHUMIN
9434;2019;1;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;100;100;100;100;100;100;100;100;100;100;100;100;100;93;80;77;80;93;98;99;99;99;98;99;100;9999;76;1450
9434;2019;1;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;100;83;84;84;86;87;89;88;87;82;76;69;60;55;51;53;58;62;68;68;74;73;75;76;100;0;50;1410
9434;2019;1;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;75;74;74;74;76;76;76;85;90;79;79;69;65;62;55;50;58;66;71;76;80;86;89;91;91;2250;49;1440
9434;2019;1;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;86;90;93;93;98;99;99;100;97;98;98;98;93;81;69;66;75;83;88;94;97;97;96;98;100;710;64;1450
9434;2019;1;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;98;98;99;99;99;99;98;95;96;98;93;64;45;35;31;28;28;33;34;39;38;38;36;41;100;410;27;1520
9434;2019;1;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;44;45;44;44;44;44;44;47;44;39;33;30;28;26;26;28;28;31;34;37;46;52;57;53;58;2350;26;1330
9434;2019;1;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;57;57;60;66;69;73;74;76;77;73;68;61;56;50;48;47;55;60;67;71;73;75;75;74;77;730;45;1430
9434;2019;1;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;74;78;75;75;78;80;81;81;74;65;65;62;60;57;57;58;61;67;69;71;73;73;74;75;81;9999;57;9999
9434;2019;1;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;72;75;77;74;75;76;76;74;74;64;62;53;53;47;47;49;50;55;58;63;61;65;66;69;77;150;45;1320
9434;2019;1;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;65;67;62;57;53;56;59;60;61;55;52;49;46;44;44;42;43;42;43;47;51;54;57;58;71;120;41;1710
9434;2019;1;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;55;57;59;63;65;65;60;56;55;52;48;43;42;41;40;39;40;43;50;52;55;60;66;70;73;2350;38;1530
9434;2019;1;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;73;75;78;79;79;82;77;75;78;73;65;60;57;56;57;57;59;62;64;73;74;75;70;71;82;500;56;1250
9434;2019;1;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;72;75;72;73;72;71;71;71;70;66;62;59;57;56;57;57;61;65;67;67;68;71;72;75;76;110;56;1310
9434;2019;1;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;74;75;74;74;74;73;70;70;68;63;60;58;55;55;54;56;57;63;67;69;71;72;74;75;76;9999;53;1410
9434;2019;1;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;75;75;81;83;85;88;90;91;89;76;66;64;63;58;55;51;50;56;64;72;74;84;88;89;91;700;49;1510
9434;2019;1;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;90;92;94;94;98;99;99;98;99;99;99;99;98;97;96;96;95;95;92;91;90;93;92;91;100;620;89;9999
9434;2019;1;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;90;92;95;98;98;100;100;98;94;87;82;82;69;63;61;59;59;;62;73;74;78;77;77;100;530;56;1620
9434;2019;1;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;75;77;74;76;80;78;79;78;77;74;64;58;57;56;55;57;58;64;68;70;70;71;62;80;82;640;48;1520
9434;2019;1;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;82;84;84;85;85;87;81;80;78;81;72;66;53;52;51;51;52;64;83;89;92;95;96;97;97;2330;49;1510
9434;2019;1;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;97;96;97;98;98;98;98;97;96;96;90;80;71;65;63;63;66;72;75;77;77;79;81;81;99;550;63;1430
9434;2019;1;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;82;81;83;84;85;81;84;83;80;78;72;68;63;59;55;53;56;61;63;60;65;69;70;73;85;350;50;1430
9434;2019;1;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;68;72;76;79;80;77;78;78;76;69;66;59;61;63;73;85;89;78;79;83;78;80;86;86;90;2220;58;1110
9434;2019;1;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;86;90;89;81;80;73;71;82;80;78;70;69;71;76;66;61;63;72;68;70;79;81;81;82;91;210;59;1420
9434;2019;1;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;80;84;85;86;83;85;85;83;79;74;77;77;73;70;65;65;64;70;71;70;72;72;73;77;90;220;62;1520
9434;2019;1;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;81;80;80;80;83;84;86;86;80;77;72;69;66;64;64;65;65;64;68;69;70;70;70;70;88;620;64;9999
9434;2019;1;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;70;71;71;71;74;71;74;75;71;65;62;61;58;55;54;53;55;57;73;75;73;77;83;84;84;9999;53;9999
9434;2019;1;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;78;78;82;82;83;89;88;84;82;80;58;47;48;44;48;59;65;60;59;66;67;68;70;72;90;450;44;1250
9434;2019;1;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;72;73;74;77;70;64;64;69;68;57;58;66;63;58;77;57;62;66;70;71;71;67;67;72;78;240;52;920
9434;2019;1;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;71;72;74;77;76;74;78;80;66;63;61;53;55;60;57;69;72;62;89;89;85;72;71;78;91;1920;53;1100
9434;2019;1;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;76;74;76;73;77;72;76;77;77;71;63;61;56;49;46;44;44;46;46;48;56;85;90;93;94;9999;42;1643
9434;2019;1;31;ZARAGOZA/AEROPUERTO;249;0100152;413938;94;95;95;95;95;94;95;95;96;96;96;93;90;87;79;66;65;77;59;66;67;65;65;60;96;9999;59;1750
