INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;HU00;HU01;HU02;HU03;HU04;HU05;HU06;HU07;HU08;HU09;HU10;HU11;HU12;HU13;HU14;HU15;HU16;HU17;HU18;HU19;HU20;HU21;HU22;HU23;HUMAX;HHUMAX;HUMIN;HHUMIN
9434;2019;2;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;62;67;74;94;87;71;65;65;56;56;53;42;40;46;42;43;53;78;76;69;64;61;62;64;94;300;38;1130
9434;2019;2;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;67;70;78;78;78;78;79;86;87;78;70;65;62;64;58;56;51;65;80;86;86;84;81;87;90;720;51;1540
9434;2019;2;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;85;85;83;83;84;84;83;85;77;77;69;54;49;44;46;44;48;53;59;68;71;73;71;70;87;230;42;1440
9434;2019;2;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;72;71;70;71;70;71;72;69;66;63;56;47;51;43;33;28;35;41;47;54;56;59;62;62;72;9999;28;1500
9434;2019;2;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;64;64;62;64;65;68;70;72;72;65;55;56;51;52;51;51;55;58;65;71;74;79;80;79;81;2220;50;1330
9434;2019;2;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;80;81;80;83;86;87;87;89;88;78;69;60;57;55;52;47;48;51;62;70;74;81;81;81;91;730;47;1500
9434;2019;2;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;86;88;89;92;91;92;90;92;92;82;63;60;56;55;53;52;53;55;64;72;72;75;77;78;93;240;49;1430
9434;2019;2;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;79;83;83;88;89;88;91;95;92;87;79;71;67;60;51;47;47;50;57;64;75;80;82;84;95;700;47;1530
9434;2019;2;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;88;88;88;90;89;90;90;92;92;84;78;69;61;52;49;47;48;50;52;63;68;72;73;72;93;720;47;1430
9434;2019;2;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;74;77;77;82;60;63;60;62;61;59;51;51;47;45;43;46;49;67;74;81;72;72;80;73;82;250;42;1410
9434;2019;2;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;73;74;75;73;67;63;65;65;66;61;58;56;54;53;51;51;54;57;60;64;70;72;71;71;76;240;50;1350
9434;2019;2;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;72;71;73;76;80;81;81;84;77;75;70;61;53;52;44;42;42;43;51;61;67;68;73;76;86;620;41;1540
9434;2019;2;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;80;82;82;86;87;86;89;88;87;83;72;66;57;53;47;44;44;47;52;60;66;66;70;76;89;630;43;1510
9434;2019;2;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;78;82;86;89;86;87;88;88;87;85;82;76;67;60;54;50;48;53;56;65;67;74;78;85;90;240;48;1600
9434;2019;2;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;85;86;88;88;90;92;91;93;89;90;88;87;85;74;66;61;59;59;67;69;72;76;78;79;94;620;57;1610
9434;2019;2;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;81;85;86;86;89;90;91;92;93;86;75;67;60;54;46;40;36;37;45;52;56;49;50;57;93;740;36;1600
9434;2019;2;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;59;64;65;67;71;71;74;78;69;53;42;34;32;23;24;22;26;30;38;44;51;61;69;77;82;2359;22;1500
9434;2019;2;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;82;85;89;91;93;93;93;92;91;87;80;72;66;59;52;48;49;51;56;62;69;74;76;80;94;710;46;1520
9434;2019;2;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;83;86;84;88;91;89;90;93;92;91;88;84;78;71;60;59;45;50;59;62;65;70;74;79;93;650;45;1600
9434;2019;2;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;79;84;86;87;87;87;91;90;88;87;83;84;75;66;58;52;42;48;54;61;66;73;75;76;91;600;41;1620
9434;2019;2;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;81;84;84;85;81;88;87;89;93;80;75;68;64;56;46;43;39;39;49;57;61;65;69;71;93;800;38;1610
9434;2019;2;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;73;77;78;83;85;85;85;91;82;82;66;57;46;40;35;26;25;25;33;38;38;47;51;56;91;700;23;1530
9434;2019;2;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;58;63;66;70;72;70;75;77;66;41;38;34;25;22;21;21;20;24;28;31;36;39;42;43;78;640;18;1520
9434;2019;2;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;46;52;54;56;58;63;67;71;70;62;59;54;51;47;43;40;39;39;45;54;57;62;65;69;74;9999;38;1610
9434;2019;2;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;74;75;78;82;85;87;86;89;86;76;66;61;51;42;39;35;37;37;44;50;56;63;64;69;91;710;35;1500
9434;2019;2;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;72;72;75;76;82;82;86;84;83;73;64;56;51;42;34;32;29;27;33;39;42;47;54;52;86;600;26;1650
9434;2019;2;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;58;60;65;68;72;74;73;76;71;64;59;52;41;34;28;23;20;23;28;36;40;43;44;45;76;730;18;1620
9434;2019;2;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;44;50;55;58;59;61;60;61;59;56;51;46;45;42;39;40;40;42;45;51;58;61;62;62;64;2350;37;1410
