INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;PRES00;PRES07;PRES13;PRES18;PRESMAX;HPRESMAX;PRESMIN;HPRESMIN
9434;2019;2;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;9634;9610;9599;9594;9634;0;9589;15
9434;2019;2;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;9628;9698;9769;9830;9863;24;9628;0
9434;2019;2;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;9863;9903;9935;9953;9976;23;9863;0
9434;2019;2;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;9971;9962;9952;9963;9973;0;9943;14
9434;2019;2;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;9970;9966;9966;9956;9981;11;9955;99
9434;2019;2;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;9966;9955;9934;9911;9967;1;9909;17
9434;2019;2;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;9916;9915;9919;9925;9938;22;9906;4
9434;2019;2;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;9936;9920;9903;9882;9936;0;9878;17
9434;2019;2;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;9905;9917;9907;9886;9926;10;9884;17
9434;2019;2;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;9893;9878;9869;9903;9937;24;9865;15
9434;2019;2;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;9937;9965;9984;9987;10010;24;9937;0
9434;2019;2;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;10010;10018;10012;10001;10031;9;9998;17
9434;2019;2;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;10008;10007;10007;9996;10020;11;9992;17
9434;2019;2;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;10016;10027;10017;9991;10039;10;9989;17
9434;2019;2;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;9997;10000;9992;9974;10011;11;9971;17
9434;2019;2;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;9987;9991;9980;9953;10001;9;9950;17
9434;2019;2;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;9962;9958;9931;9901;9963;8;9899;17
9434;2019;2;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;9914;9913;9901;9883;9922;9;9879;17
9434;2019;2;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;9902;9910;9910;9898;9923;11;9892;17
9434;2019;2;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;9920;9930;9941;9935;9964;24;9920;0
9434;2019;2;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;9964;9982;9981;9979;10009;24;9964;0
9434;2019;2;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;10009;10010;9987;9970;10019;9;9969;99
9434;2019;2;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;9974;9977;9959;9944;9986;24;9940;99
9434;2019;2;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;9986;10005;10015;10007;10026;99;9986;0
9434;2019;2;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;10025;10018;10003;9991;10030;10;9986;17
9434;2019;2;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;10003;10004;9993;9977;10017;9;9974;16
9434;2019;2;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;9981;9975;9956;9933;9982;9;9930;17
9434;2019;2;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;9954;9976;9971;9955;9981;12;9950;15
