INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;HU00;HU01;HU02;HU03;HU04;HU05;HU06;HU07;HU08;HU09;HU10;HU11;HU12;HU13;HU14;HU15;HU16;HU17;HU18;HU19;HU20;HU21;HU22;HU23;HUMAX;HHUMAX;HUMIN;HHUMIN
9434;2019;7;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;39;40;51;57;61;64;63;61;57;51;43;39;36;34;32;30;31;35;43;44;48;49;55;59;64;440;30;1500
9434;2019;7;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;59;65;68;71;72;73;71;66;61;55;49;43;38;36;31;28;27;27;29;32;54;50;45;51;73;450;26;1520
9434;2019;7;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;55;59;63;65;65;67;70;67;60;46;46;40;30;24;23;21;19;18;20;22;27;30;34;38;70;550;18;9999
9434;2019;7;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;42;44;48;49;50;53;49;44;42;37;32;27;24;20;18;18;20;26;25;28;30;32;35;38;53;500;17;1410
9434;2019;7;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;43;47;53;57;61;63;63;57;52;41;31;28;25;24;22;22;20;21;21;22;30;30;38;45;65;530;20;9999
9434;2019;7;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;53;56;61;63;66;65;61;59;56;50;43;37;25;22;17;15;16;15;17;20;26;34;39;46;67;420;15;9999
9434;2019;7;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;49;57;56;58;62;65;62;61;58;53;46;41;35;35;24;23;20;19;19;27;35;47;55;59;65;440;18;1610
9434;2019;7;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;57;71;65;64;66;68;65;64;61;55;47;43;45;62;65;71;72;50;58;73;96;95;87;87;97;2010;42;1120
9434;2019;7;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;83;81;84;91;88;90;88;80;79;69;60;51;50;50;49;49;48;45;41;41;45;45;52;57;92;310;41;1830
9434;2019;7;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;60;60;61;63;65;65;60;58;53;46;42;39;38;35;34;28;27;28;29;34;37;42;50;55;65;430;25;1550
9434;2019;7;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;59;59;60;60;60;59;55;56;48;42;37;35;32;27;25;25;21;22;22;27;29;35;33;35;62;430;20;1610
