INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;TMAX;TMIN;TMED
9434;2019;7;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;338;205;272
9434;2019;7;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;351;189;270
9434;2019;7;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;373;209;291
9434;2019;7;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;372;208;290
9434;2019;7;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;381;217;299
9434;2019;7;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;392;215;304
9434;2019;7;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;375;212;294
9434;2019;7;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;311;176;244
9434;2019;7;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;270;174;222
9434;2019;7;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;325;171;248
9434;2019;7;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;362;209;286
9434;2019;7;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;378;222;300
9434;2019;7;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;341;214;278
9434;2019;7;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;305;195;250
9434;2019;7;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;308;196;252
9434;2019;7;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;332;173;252
9434;2019;7;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;314;193;254
9434;2019;7;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;319;189;254
9434;2019;7;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;354;188;271
9434;2019;7;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;382;218;300
9434;2019;7;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;379;214;296
9434;2019;7;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;401;221;311
9434;2019;7;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;409;224;316
9434;2019;7;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;408;234;321
9434;2019;7;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;387;235;311
9434;2019;7;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;317;204;260
9434;2019;7;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;251;179;215
9434;2019;7;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;281;168;224
9434;2019;7;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;359;158;258
9434;2019;7;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;281;181;231
9434;2019;7;31;ZARAGOZA/AEROPUERTO;249;0100152;413938;320;162;241
