INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;TMAX;TMIN;TMED
9434;2019;6;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;330;149;240
9434;2019;6;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;344;156;250
9434;2019;6;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;341;181;261
9434;2019;6;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;348;155;252
9434;2019;6;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;205;132;168
9434;2019;6;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;272;114;193
9434;2019;6;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;254;130;192
9434;2019;6;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;280;118;199
9434;2019;6;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;317;159;238
9434;2019;6;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;226;144;185
9434;2019;6;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;208;112;160
9434;2019;6;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;250;80;165
9434;2019;6;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;286;135;210
9434;2019;6;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;298;151;224
9434;2019;6;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;269;151;210
9434;2019;6;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;319;132;226
9434;2019;6;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;351;167;259
9434;2019;6;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;362;203;282
9434;2019;6;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;331;168;250
9434;2019;6;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;292;178;235
9434;2019;6;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;262;163;212
9434;2019;6;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;326;142;234
9434;2019;6;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;373;191;282
9434;2019;6;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;333;207;270
9434;2019;6;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;359;190;274
9434;2019;6;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;370;210;290
9434;2019;6;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;406;216;311
9434;2019;6;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;427;214;320
9434;2019;6;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;432;224;328
9434;2019;6;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;423;215;319
