INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;T00;T01;T02;T03;T04;T05;T06;T07;T08;T09;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;TH00;TH07;TH13;TH18;TMIN_JS;HTMAX;HTMIN
9434;2019;3;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;97;86;79;69;64;79;75;74;87;103;120;135;150;165;181;186;187;183;163;141;131;121;123;113;69;48;105;98;44;1530;400
9434;2019;3;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;114;103;100;99;100;98;92;103;114;131;150;163;177;189;194;202;202;195;174;151;136;115;120;103;78;76;109;109;49;1520;2359
9434;2019;3;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;85;77;72;67;58;57;47;38;66;92;118;142;174;200;223;236;220;207;195;172;152;152;139;132;60;27;125;119;19;1500;650
9434;2019;3;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;174;156;142;146;143;138;145;151;158;173;187;190;203;209;212;209;199;186;169;153;139;128;122;110;109;92;115;102;90;1450;2359
9434;2019;3;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;101;102;95;93;86;83;78;74;89;112;137;155;177;175;186;186;177;176;170;157;135;121;124;117;69;56;110;106;63;1450;700
9434;2019;3;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;109;107;106;107;105;102;105;102;106;114;127;148;159;169;185;187;196;137;125;116;106;121;110;114;89;89;124;93;81;1540;440
9434;2019;3;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;109;111;105;104;104;96;81;84;99;102;111;126;133;149;157;167;166;162;142;120;107;116;90;87;74;61;79;76;54;1550;2359
9434;2019;3;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;80;70;71;66;62;64;66;83;95;103;130;142;144;148;152;158;160;157;147;124;108;98;86;82;47;54;99;89;42;1650;420
9434;2019;3;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;75;63;56;58;54;47;49;52;82;109;141;162;173;189;193;199;206;199;188;170;150;139;136;123;52;38;121;134;24;1600;640
9434;2019;3;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;115;100;95;92;82;80;74;72;97;133;157;175;189;204;204;201;199;188;169;156;147;143;136;125;94;62;143;120;45;1320;650
9434;2019;3;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;119;116;116;113;109;109;100;97;104;115;125;139;150;155;163;167;167;159;145;132;111;104;99;87;94;67;95;90;47;1440;2359
9434;2019;3;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;75;61;55;53;45;33;30;35;58;82;108;134;154;167;179;181;192;195;174;146;126;123;117;125;49;24;99;109;3;1650;620
9434;2019;3;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;123;117;110;103;94;85;79;77;84;98;106;118;;141;136;130;132;123;107;99;93;87;83;83;94;53;84;70;68;1320;630
9434;2019;3;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;80;79;78;74;83;85;82;86;96;101;108;124;138;145;147;150;152;138;126;111;105;97;92;89;55;59;87;81;62;1540;9999
9434;2019;3;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;88;86;82;79;77;77;82;88;103;114;122;135;151;169;183;191;200;193;178;160;140;132;121;115;60;62;107;115;64;1630;450
9434;2019;3;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;105;109;89;77;74;55;46;52;74;105;132;155;181;207;224;240;250;248;223;196;179;154;150;126;73;38;132;123;30;1600;600
9434;2019;3;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;110;108;92;93;82;82;70;81;100;131;159;171;176;181;172;172;150;132;123;105;99;90;84;78;69;59;115;79;40;1300;620
9434;2019;3;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;75;71;72;71;66;63;66;69;82;95;109;125;139;146;151;149;148;136;122;111;107;98;92;87;43;44;82;71;54;1420;450
9434;2019;3;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;84;85;85;83;81;74;70;72;83;101;117;127;141;145;148;145;138;126;113;99;91;84;79;75;57;54;83;64;65;1310;540
9434;2019;3;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;72;69;66;64;61;59;60;65;80;96;111;126;139;153;162;168;163;159;146;126;111;99;92;86;48;44;82;75;43;1430;500
9434;2019;3;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;76;65;57;50;51;50;45;53;62;82;105;120;136;152;168;172;172;171;159;135;106;93;76;65;45;30;87;78;22;1440;610
9434;2019;3;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;56;50;40;36;34;24;17;30;53;81;115;143;169;187;198;203;200;195;181;158;143;122;110;100;19;8;99;105;-12;1440;540
9434;2019;3;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;89;79;72;67;57;51;51;59;87;109;138;165;189;206;218;227;227;223;207;184;146;139;123;119;56;40;123;110;16;1510;530
9434;2019;3;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;112;103;93;83;75;65;59;70;100;136;161;181;203;221;231;235;240;237;227;192;162;155;155;149;66;45;124;123;20;1610;610
9434;2019;3;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;138;129;121;112;103;102;99;102;116;134;147;154;161;167;169;169;165;158;137;121;113;105;96;95;85;74;97;84;89;1430;2300
9434;2019;3;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;96;96;95;93;90;84;78;81;93;107;123;139;158;176;188;202;209;205;182;149;127;118;109;103;62;52;91;90;68;1540;610
9434;2019;3;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;94;83;77;70;60;55;54;66;89;104;125;142;159;174;188;201;205;204;184;157;133;121;113;105;50;38;90;93;45;1550;540
9434;2019;3;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;100;93;83;77;71;70;63;72;89;107;126;143;157;174;181;192;198;199;192;163;131;118;121;103;58;49;102;109;56;1640;600
9434;2019;3;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;102;94;76;68;55;47;43;62;91;116;136;154;177;192;201;205;202;192;172;155;140;124;109;98;66;42;106;102;15;1510;600
9434;2019;3;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;89;80;79;78;65;56;50;59;92;115;135;156;170;182;188;193;194;191;177;155;144;123;109;98;55;47;105;100;20;1540;620
9434;2019;3;31;ZARAGOZA/AEROPUERTO;249;0100152;413938;91;85;74;67;62;61;64;65;84;102;112;123;130;128;129;127;119;115;114;108;99;96;93;87;71;55;94;92;34;1220;440
