INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;PRES00;PRES07;PRES13;PRES18;PRESMAX;HPRESMAX;PRESMIN;HPRESMIN
9434;2019;5;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;9851;9856;9832;9811;9862;24;9808;17
9434;2019;5;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;9860;9872;9852;9839;9873;8;9836;16
9434;2019;5;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;9855;9836;9827;9825;9855;0;9813;15
9434;2019;5;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;9842;9840;9831;9831;9873;24;9821;16
9434;2019;5;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;9870;9886;9872;9864;9890;7;9854;3
9434;2019;5;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;9883;9899;9872;9851;9900;7;9849;17
9434;2019;5;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;9864;9871;9835;9809;9873;7;9808;17
9434;2019;5;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;9810;9798;9774;9759;9810;99;9753;17
9434;2019;5;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;9804;9834;9817;9794;9837;9;9794;18
9434;2019;5;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;9809;9824;9818;9812;9860;24;9809;0
9434;2019;5;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;9860;9904;9924;9934;9966;23;9860;0
9434;2019;5;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;9964;9957;9930;9902;9965;7;9901;18
9434;2019;5;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;9926;9918;9883;9878;9927;0;9871;99
9434;2019;5;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;9907;9903;9856;9824;9907;0;9823;19
9434;2019;5;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;9830;9828;9798;9785;9838;24;9783;16
9434;2019;5;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;9838;9828;9775;9720;9839;0;9708;24
9434;2019;5;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;9708;9747;9773;9796;9811;22;9708;0
9434;2019;5;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;9809;9803;9790;9808;9823;22;9788;15
9434;2019;5;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;9816;9809;9813;9822;9842;99;9803;4
9434;2019;5;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;9839;9842;9834;9820;9854;24;9818;17
9434;2019;5;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;9854;9866;9854;9845;9876;24;9841;17
9434;2019;5;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;9876;9889;9872;9853;9889;99;9851;17
9434;2019;5;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;9870;9874;9851;9840;9877;8;9834;16
9434;2019;5;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;9863;9871;9862;9857;9875;23;9855;15
9434;2019;5;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;9872;9887;9884;9885;9903;99;9869;3
9434;2019;5;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;9902;9895;9876;9865;9902;0;9865;18
9434;2019;5;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;9869;9853;9832;9828;9869;0;9825;17
9434;2019;5;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;9861;9870;9873;9887;9918;24;9852;3
9434;2019;5;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;9918;9928;9919;9918;9946;24;9909;3
9434;2019;5;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;9945;9953;9932;9907;9953;99;9907;18
9434;2019;5;31;ZARAGOZA/AEROPUERTO;249;0100152;413938;9932;9941;9918;9895;9942;8;9894;99
