INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;HU00;HU01;HU02;HU03;HU04;HU05;HU06;HU07;HU08;HU09;HU10;HU11;HU12;HU13;HU14;HU15;HU16;HU17;HU18;HU19;HU20;HU21;HU22;HU23;HUMAX;HHUMAX;HUMIN;HHUMIN
9434;2019;11;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;82;86;86;86;84;85;87;88;84;74;68;63;62;56;54;51;66;79;75;70;70;69;68;65;88;700;50;1450
9434;2019;11;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;67;65;63;67;64;64;68;65;60;57;52;50;43;74;51;46;52;51;51;57;60;72;77;73;79;2240;43;1200
9434;2019;11;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;75;62;58;58;62;61;60;89;81;66;53;45;40;37;37;37;39;44;53;53;48;50;52;53;89;700;35;1320
9434;2019;11;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;52;53;58;59;56;55;50;50;50;48;46;48;43;43;42;42;43;45;90;92;75;68;83;85;92;9999;40;1520
9434;2019;11;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;90;88;68;68;63;64;65;64;62;55;49;47;44;47;73;69;72;71;65;66;68;74;62;61;90;0;43;1230
9434;2019;11;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;69;73;69;71;64;61;63;63;65;60;56;53;50;49;49;47;49;54;66;70;72;74;77;83;84;9999;47;9999
9434;2019;11;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;84;87;83;80;80;86;88;90;93;87;79;76;74;73;71;70;59;68;78;76;67;72;80;84;94;740;58;1540
9434;2019;11;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;84;80;72;67;67;72;80;76;67;64;57;50;48;56;65;81;83;81;85;83;84;83;79;79;86;1810;42;1230
9434;2019;11;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;77;66;72;68;80;79;77;76;72;70;64;54;51;50;52;52;57;60;64;66;74;76;86;92;93;2240;49;1430
9434;2019;11;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;85;83;77;75;73;79;81;79;79;75;74;71;64;71;65;66;69;72;73;72;75;74;74;76;85;0;60;1420
9434;2019;11;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;82;79;76;75;75;77;73;72;73;69;69;69;73;87;85;84;80;70;74;73;77;76;75;78;87;1300;67;1030
9434;2019;11;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;76;73;73;74;78;80;75;79;73;68;62;57;54;53;50;51;55;58;66;68;70;65;76;77;80;9999;46;1440
9434;2019;11;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;80;81;85;92;95;95;96;96;94;87;79;72;63;64;56;60;61;62;77;75;77;83;80;83;96;630;56;1400
9434;2019;11;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;84;84;85;83;58;55;92;92;90;87;80;73;70;64;63;58;58;65;59;63;71;76;79;79;92;630;53;1230
9434;2019;11;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;77;80;79;83;85;84;83;92;86;77;73;67;62;67;64;60;65;70;75;79;78;81;83;84;92;710;57;1250
9434;2019;11;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;83;85;86;86;87;84;82;85;79;69;64;60;50;50;52;58;58;67;74;72;77;74;73;76;88;410;49;1210
9434;2019;11;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;81;80;80;79;74;70;74;70;71;65;64;60;60;59;59;79;84;83;91;92;88;93;95;95;96;2340;55;1340
9434;2019;11;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;95;98;97;88;84;80;79;81;77;71;68;58;56;54;51;53;57;63;65;65;71;67;76;77;98;100;51;1400
9434;2019;11;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;79;76;78;75;81;81;83;80;73;65;64;60;52;51;50;52;54;67;74;76;77;80;84;88;91;2350;49;1210
9434;2019;11;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;91;88;88;89;91;91;93;94;92;87;77;74;69;63;59;55;63;65;67;69;73;81;87;92;94;9999;55;1500
9434;2019;11;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;93;92;93;93;94;96;95;97;98;98;88;79;61;74;66;60;68;70;75;79;84;85;86;88;99;840;57;1430
9434;2019;11;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;89;91;92;92;92;93;94;92;86;91;90;87;83;83;84;89;90;93;89;91;91;90;90;88;94;9999;81;1220
9434;2019;11;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;93;93;75;69;68;65;65;84;81;83;81;81;72;67;60;56;56;58;62;67;68;72;75;63;94;10;54;1530
9434;2019;11;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;69;75;67;74;71;78;79;79;73;66;63;57;53;52;52;58;63;70;66;69;67;62;62;78;89;2359;51;1330
9434;2019;11;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;89;90;91;89;80;79;79;83;91;89;86;81;76;73;70;68;76;80;82;79;84;86;89;90;93;210;67;1420
9434;2019;11;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;91;93;92;89;92;92;95;96;93;87;80;73;68;66;63;59;63;69;70;69;76;80;78;82;96;9999;59;1440
9434;2019;11;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;76;62;68;51;55;60;58;64;54;53;52;48;46;40;40;45;47;51;52;60;57;60;59;57;76;0;40;1330
9434;2019;11;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;59;61;64;62;63;65;64;63;61;58;55;51;52;51;50;52;51;55;55;60;64;62;63;62;65;9999;49;1520
9434;2019;11;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;63;64;64;66;71;77;79;82;80;79;77;68;62;61;59;59;63;73;77;79;82;83;86;89;93;2350;58;1510
9434;2019;11;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;93;92;93;90;90;89;89;91;90;88;78;74;70;68;68;67;65;70;55;90;87;91;84;81;93;9999;55;1800
