INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;TMAX;TMIN;TMED
9434;2019;11;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;251;129;190
9434;2019;11;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;239;161;200
9434;2019;11;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;186;107;146
9434;2019;11;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;225;118;172
9434;2019;11;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;173;108;140
9434;2019;11;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;164;81;122
9434;2019;11;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;131;61;96
9434;2019;11;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;139;52;96
9434;2019;11;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;142;67;104
9434;2019;11;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;108;56;82
9434;2019;11;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;117;56;86
9434;2019;11;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;150;68;109
9434;2019;11;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;145;80;112
9434;2019;11;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;125;60;92
9434;2019;11;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;111;34;72
9434;2019;11;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;112;31;72
9434;2019;11;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;133;33;83
9434;2019;11;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;111;56;84
9434;2019;11;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;126;33;80
9434;2019;11;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;114;18;66
9434;2019;11;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;143;44;94
9434;2019;11;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;111;48;80
9434;2019;11;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;130;80;105
9434;2019;11;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;138;66;102
9434;2019;11;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;163;74;118
9434;2019;11;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;182;69;126
9434;2019;11;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;185;121;153
9434;2019;11;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;183;129;156
9434;2019;11;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;171;79;125
9434;2019;11;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;176;72;124
