INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;PRES00;PRES07;PRES13;PRES18;PRESMAX;HPRESMAX;PRESMIN;HPRESMIN
9434;2019;10;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;9835;9823;9808;9808;9846;24;9799;16
9434;2019;10;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;9846;9857;9868;9875;9898;22;9846;0
9434;2019;10;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;9888;9884;9865;9863;9893;9;9855;17
9434;2019;10;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;9880;9879;9862;9845;9881;8;9838;16
9434;2019;10;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;9873;9866;9855;9848;9876;9;9842;16
9434;2019;10;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;9874;9897;9892;9889;9909;99;9874;0
9434;2019;10;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;9904;9883;9874;9871;9904;0;9861;15
9434;2019;10;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;9888;9891;9867;9850;9898;8;9848;17
9434;2019;10;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;9868;9886;9885;9893;9924;23;9866;2
9434;2019;10;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;9921;9930;9915;9902;9940;9;9900;99
9434;2019;10;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;9913;9913;9887;9862;9921;9;9860;18
9434;2019;10;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;9877;9877;9860;9847;9887;9;9841;16
9434;2019;10;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;9870;9859;9842;9834;9870;0;9830;99
9434;2019;10;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;9841;9817;9794;9796;9845;24;9785;15
9434;2019;10;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;9842;9880;9886;9885;9902;22;9840;0
9434;2019;10;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;9899;9891;9866;9854;9899;0;9846;17
9434;2019;10;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;9863;9860;9862;9857;9877;10;9849;16
9434;2019;10;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;9863;9859;9845;9827;9863;0;9813;24
9434;2019;10;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;9813;9801;9772;9756;9813;0;9745;22
9434;2019;10;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;9748;9756;9779;9818;9860;24;9732;2
9434;2019;10;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;9860;9878;9882;9881;9895;24;9860;0
9434;2019;10;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;9888;9859;9817;9787;9894;1;9763;24
9434;2019;10;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;9763;9759;9765;9777;9807;24;9739;3
9434;2019;10;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;9807;9851;9872;9900;9926;99;9807;0
9434;2019;10;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;9926;9930;9908;9902;9935;8;9896;16
9434;2019;10;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;9913;9917;9904;9899;9924;10;9890;16
9434;2019;10;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;9916;9917;9903;9894;9926;9;9888;16
9434;2019;10;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;9890;9875;9871;9860;9890;99;9855;17
9434;2019;10;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;9861;9870;9871;9874;9897;24;9858;4
9434;2019;10;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;9897;9908;9898;9894;9918;9;9890;99
9434;2019;10;31;ZARAGOZA/AEROPUERTO;249;0100152;413938;9899;9905;9908;9910;9921;10;9895;3
