INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;PRES00;PRES07;PRES13;PRES18;PRESMAX;HPRESMAX;PRESMIN;HPRESMIN
9434;2019;9;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;9857;9860;9852;9851;9887;24;9841;15
9434;2019;9;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;9887;9909;9904;9892;9922;99;9887;0
9434;2019;9;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;9922;9932;9911;9889;9935;8;9888;17
9434;2019;9;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;9908;9907;9887;9876;9910;8;9870;16
9434;2019;9;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;9902;9911;9906;9903;9921;9;9893;4
9434;2019;9;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;9915;9922;9906;9898;9923;8;9894;16
9434;2019;9;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;9921;9925;9902;9879;9927;8;9878;17
9434;2019;9;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;9901;9898;9880;9864;9901;0;9861;99
9434;2019;9;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;9888;9879;9841;9815;9888;0;9811;16
9434;2019;9;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;9829;9839;9825;9833;9867;24;9819;15
9434;2019;9;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;9867;9890;9912;9930;9968;24;9864;1
9434;2019;9;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;9968;9983;9977;9960;10001;9;9960;18
9434;2019;9;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;9979;9973;9981;9953;9981;99;9951;18
9434;2019;9;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;9971;9963;9938;9925;9971;0;9924;16
9434;2019;9;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;9932;9927;9908;9896;9932;0;9893;17
9434;2019;9;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;9908;9900;9887;9868;9909;99;9866;17
9434;2019;9;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;9879;9881;9860;9834;9885;8;9833;17
9434;2019;9;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;9844;9861;9859;9856;9875;24;9844;0
9434;2019;9;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;9875;9882;9867;9850;9888;9;9846;17
9434;2019;9;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;9876;9880;9855;9843;9885;8;9834;16
9434;2019;9;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;9852;9839;9817;9805;9852;0;9801;17
9434;2019;9;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;9813;9817;9826;9841;9874;24;9802;4
9434;2019;9;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;9874;9899;9885;9876;9904;9;9874;0
9434;2019;9;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;9875;9870;9843;9840;9875;0;9836;15
9434;2019;9;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;9852;9877;9871;9864;9888;9;9852;0
9434;2019;9;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;9887;9890;9873;9859;9898;9;9857;16
9434;2019;9;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;9879;9886;9874;9864;9900;24;9859;99
9434;2019;9;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;9900;9913;9898;9873;9923;9;9872;17
9434;2019;9;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;9878;9881;9861;9845;9884;9;9844;99
9434;2019;9;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;9871;9880;9858;9831;9885;9;9831;99
