INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;T00;T01;T02;T03;T04;T05;T06;T07;T08;T09;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;TH00;TH07;TH13;TH18;TMIN_JS;HTMAX;HTMIN
9434;2019;9;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;234;228;221;216;212;209;206;215;225;232;250;266;281;281;289;300;284;265;259;253;241;230;212;210;190;177;195;180;207;1500;2350
9434;2019;9;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;202;194;184;176;174;171;170;180;189;203;214;225;242;248;253;257;256;252;242;225;210;197;190;185;161;135;157;156;171;1550;530
9434;2019;9;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;182;179;174;166;157;149;151;166;179;197;213;230;247;259;277;286;292;296;293;267;242;226;225;212;131;126;165;182;148;1640;540
9434;2019;9;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;196;193;183;173;175;170;168;172;189;208;229;245;261;273;289;294;300;280;257;231;214;203;194;188;147;134;177;173;163;1550;550
9434;2019;9;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;182;179;174;178;178;180;178;180;191;202;216;227;234;239;244;242;238;225;209;194;183;174;168;166;139;140;150;138;163;1500;2359
9434;2019;9;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;161;158;153;150;150;146;144;154;171;184;200;215;226;238;241;240;236;224;208;191;180;173;168;165;119;116;145;136;144;1410;550
9434;2019;9;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;162;159;156;154;151;143;137;144;161;180;195;210;223;237;247;255;258;258;241;218;202;186;179;175;117;111;149;142;137;1630;550
9434;2019;9;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;172;171;163;160;149;146;147;159;177;196;218;225;237;250;255;261;256;253;236;218;206;191;183;175;130;126;170;150;141;1455;520
9434;2019;9;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;167;160;154;151;138;131;128;142;151;165;191;216;237;252;261;272;273;249;239;230;225;204;194;186;115;109;160;162;124;1540;530
9434;2019;9;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;181;186;178;175;160;148;145;150;160;169;178;186;197;200;204;213;195;198;189;183;173;166;162;160;130;110;133;127;147;1510;550
