INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;PRES00;PRES07;PRES13;PRES18;PRESMAX;HPRESMAX;PRESMIN;HPRESMIN
9434;2020;8;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;9841;9872;9860;9855;9884;23;9841;0
9434;2020;8;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;9881;9878;9866;9854;9881;0;9853;15
9434;2020;8;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;9871;9867;9846;9835;9871;0;9830;15
9434;2020;8;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;9867;9872;9852;9834;9876;8;9832;17
9434;2020;8;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;9851;9853;9831;9814;9855;8;9813;17
9434;2020;8;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;9845;9868;9850;9829;9870;8;9828;18
9434;2020;8;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;9859;9880;9861;9840;9907;22;9835;19
9434;2020;8;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;9890;9896;9869;9859;9898;7;9845;17
9434;2020;8;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;9880;9872;9834;9814;9880;0;9812;16
9434;2020;8;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;9831;9826;9834;9818;9837;24;9817;18
9434;2020;8;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;9835;9850;9835;9814;9862;24;9814;18
9434;2020;8;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;9862;9846;9826;9807;9865;0;9805;17
9434;2020;8;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;9841;9858;9844;9828;9867;24;9827;18
9434;2020;8;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;9867;9868;9840;9814;9868;99;9813;17
9434;2020;8;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;9833;9831;9806;9781;9833;0;9779;17
9434;2020;8;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;9824;9843;9829;9812;9847;8;9811;18
9434;2020;8;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;9841;9848;9832;9818;9861;22;9810;16
9434;2020;8;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;9857;9857;9851;9835;9862;9;9834;17
9434;2020;8;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;9835;9817;9786;9759;9835;0;9758;17
9434;2020;8;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;9779;9794;9780;9759;9809;24;9757;16
9434;2020;8;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;9809;9835;9827;9815;9882;24;9807;0
9434;2020;8;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;9882;9915;9907;9889;9926;24;9882;0
9434;2020;8;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;9926;9928;9906;9880;9928;7;9880;18
9434;2020;8;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;9895;9899;9874;9842;9899;7;9842;18
9434;2020;8;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;9854;9861;9849;9828;9872;24;9828;18
9434;2020;8;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;9872;9889;9880;9859;9897;9;9858;99
9434;2020;8;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;9885;9885;9859;9819;9885;99;9818;18
9434;2020;8;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;9827;9803;9778;9773;9827;0;9763;15
9434;2020;8;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;9785;9782;9769;9779;9825;23;9760;15
9434;2020;8;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;9823;9842;9854;9857;9895;24;9823;0
9434;2020;8;31;ZARAGOZA/AEROPUERTO;249;0100152;413938;9895;9902;9884;9856;9905;9;9855;18
