INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;PRES00;PRES07;PRES13;PRES18;PRESMAX;HPRESMAX;PRESMIN;HPRESMIN
9434;2020;1;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;10035;10031;10024;10024;10046;10;10019;15
9434;2020;1;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;10025;10021;10015;10015;10034;10;10007;16
9434;2020;1;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;10019;10023;10017;10013;10036;10;10007;99
9434;2020;1;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;10030;10029;10021;10022;10039;10;10012;15
9434;2020;1;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;10019;10000;9979;9975;10019;0;9969;99
9434;2020;1;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;9989;9996;9996;10002;10017;22;9986;4
9434;2020;1;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;10014;10017;10006;9993;10031;9;9992;18
9434;2020;1;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;9996;10000;10009;10009;10022;99;9991;4
9434;2020;1;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;10000;9980;9947;9949;10000;0;9941;99
9434;2020;1;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;9954;9962;9967;9985;10001;23;9951;5
9434;2020;1;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;10000;10010;9998;9990;10020;10;9985;17
9434;2020;1;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;9995;9999;9988;9992;10014;10;9981;16
9434;2020;1;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;9988;9961;9939;9924;9988;0;9920;19
9434;2020;1;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;9926;9924;9913;9913;9932;10;9905;15
9434;2020;1;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;9922;9930;9939;9950;9970;23;9920;4
9434;2020;1;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;9966;9975;9954;9944;9981;10;9938;17
9434;2020;1;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;9950;9957;9966;10005;10016;21;9947;5
9434;2020;1;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;10011;9995;9943;9909;10011;0;9880;21
9434;2020;1;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;9894;9893;9921;9932;9971;23;9886;5
9434;2020;1;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;9970;9969;9971;9977;9989;11;9961;4
9434;2020;1;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;9983;9951;9922;9911;9983;0;9905;17
9434;2020;1;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;9925;9923;9911;9893;9930;10;9891;17
9434;2020;1;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;9906;9897;9900;9908;9926;24;9886;6
9434;2020;1;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;9926;9916;9911;9901;9926;0;9895;17
9434;2020;1;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;9901;9887;9885;9872;9903;11;9866;16
9434;2020;1;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;9881;9896;9911;9914;9928;21;9878;4
9434;2020;1;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;9927;9912;9895;9877;9927;0;9876;99
9434;2020;1;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;9876;9871;9886;9890;9902;24;9863;4
9434;2020;1;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;9901;9912;9907;9902;9928;10;9896;16
9434;2020;1;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;9910;9900;9899;9900;9917;22;9892;99
9434;2020;1;31;ZARAGOZA/AEROPUERTO;249;0100152;413938;9913;9919;9909;9898;9928;10;9896;16
