INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;T00;T01;T02;T03;T04;T05;T06;T07;T08;T09;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;TH00;TH07;TH13;TH18;TMIN_JS;HTMAX;HTMIN
9434;2020;1;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;16;14;10;9;6;6;4;4;5;5;6;8;10;13;15;16;15;13;12;11;10;8;7;4;11;3;10;9;7;1450;610
9434;2020;1;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;4;2;2;0;-1;-1;-2;-1;-2;-2;0;4;6;8;11;11;11;11;12;13;12;11;10;10;2;-2;5;9;0;1840;810
9434;2020;1;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;10;10;10;10;9;7;6;0;2;2;6;12;21;32;45;58;67;63;73;75;74;68;67;63;7;-3;23;61;3;1910;710
9434;2020;1;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;63;59;54;50;43;44;41;43;51;73;89;115;124;131;131;133;127;106;95;87;76;69;67;62;57;38;98;74;25;1450;640
9434;2020;1;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;58;57;56;54;55;52;62;57;47;58;72;93;103;113;124;131;127;109;73;60;53;36;32;30;48;43;71;53;24;1520;2300
9434;2020;1;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;32;28;27;27;26;23;20;19;19;20;19;19;21;23;28;30;27;26;25;25;25;21;18;16;31;19;22;23;18;0;2359
9434;2020;1;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;15;13;14;13;10;12;11;11;10;10;11;15;22;27;33;54;59;48;36;29;35;31;24;23;14;11;26;30;12;1550;410
9434;2020;1;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;21;21;14;14;19;16;18;15;14;15;20;29;34;36;39;41;39;37;34;31;29;27;27;28;20;15;32;32;15;1510;9999
9434;2020;1;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;25;24;21;19;19;19;19;19;14;15;18;19;23;30;30;29;28;26;26;27;30;32;33;36;24;19;29;25;15;2359;832
9434;2020;1;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;39;44;45;48;58;53;52;58;60;66;80;97;108;116;116;115;108;97;88;82;78;68;69;71;38;50;83;68;40;1310;0
