INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;TMAX;TMIN;TMED
9434;2020;1;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;18;3;10
9434;2020;1;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;16;-3;6
9434;2020;1;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;85;-1;42
9434;2020;1;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;136;36;86
9434;2020;1;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;133;30;82
9434;2020;1;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;32;14;23
9434;2020;1;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;60;9;34
9434;2020;1;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;41;13;27
9434;2020;1;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;39;13;26
9434;2020;1;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;117;38;78
9434;2020;1;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;120;9;64
9434;2020;1;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;105;-18;44
9434;2020;1;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;24;-19;2
9434;2020;1;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;54;-28;13
9434;2020;1;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;86;-21;32
9434;2020;1;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;133;3;68
9434;2020;1;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;162;39;100
9434;2020;1;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;116;28;72
9434;2020;1;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;87;32;60
9434;2020;1;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;66;21;44
9434;2020;1;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;51;12;32
9434;2020;1;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;90;45;68
9434;2020;1;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;112;60;86
9434;2020;1;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;99;51;75
9434;2020;1;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;121;62;92
9434;2020;1;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;136;58;97
9434;2020;1;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;124;26;75
9434;2020;1;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;168;110;139
9434;2020;1;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;187;85;136
9434;2020;1;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;179;129;154
9434;2020;1;31;ZARAGOZA/AEROPUERTO;249;0100152;413938;203;78;140
