INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;T00;T01;T02;T03;T04;T05;T06;T07;T08;T09;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23;TH00;TH07;TH13;TH18;TMIN_JS;HTMAX;HTMIN
9434;2020;2;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;111;97;103;101;97;96;96;92;97;112;121;141;173;183;188;193;192;181;151;142;149;137;124;118;96;87;146;134;83;1530;700
9434;2020;2;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;112;107;102;101;99;92;90;85;91;104;130;158;186;200;205;209;210;202;169;148;144;132;127;114;107;82;155;141;73;1540;700
9434;2020;2;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;110;101;97;90;93;87;105;112;112;148;166;167;184;193;199;206;211;197;170;147;133;127;121;110;103;99;148;140;76;1530;540
9434;2020;2;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;98;90;109;124;117;113;109;110;118;136;144;167;171;170;156;161;151;134;117;106;102;97;88;89;92;95;132;79;79;1220;2140
9434;2020;2;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;89;83;78;75;69;66;62;59;58;70;83;99;110;119;126;132;134;130;97;82;70;55;46;39;60;44;70;65;17;1540;2340
9434;2020;2;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;34;30;31;34;22;14;11;17;24;44;62;82;99;115;125;136;141;132;113;93;81;70;64;63;25;12;84;88;-2;1550;540
9434;2020;2;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;59;57;56;51;50;54;50;51;56;66;76;87;107;118;126;131;128;123;111;91;75;65;58;52;52;48;91;85;31;1530;2350
9434;2020;2;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;45;43;35;33;28;20;23;21;21;28;38;69;94;100;106;106;111;105;94;94;94;93;93;88;39;20;84;83;13;1550;510
9434;2020;2;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;77;66;60;55;51;57;45;43;48;61;73;94;115;135;148;152;146;142;126;113;107;100;93;121;71;42;102;99;31;1510;630
9434;2020;2;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;132;121;99;86;76;68;62;64;72;101;116;139;165;184;208;210;197;189;162;147;148;133;126;115;101;60;139;122;50;1430;620
9434;2020;2;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;100;101;99;90;80;80;73;84;114;123;138;155;155;162;167;165;163;155;140;140;137;132;133;129;85;77;124;114;61;1340;610
9434;2020;2;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;124;120;107;101;113;111;109;110;113;119;126;134;141;145;147;148;145;136;127;125;124;118;114;112;102;93;109;111;96;1430;250
9434;2020;2;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;110;109;105;99;95;98;102;102;100;105;121;145;159;169;176;189;193;180;152;134;129;113;108;100;104;97;136;123;87;1530;410
9434;2020;2;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;100;106;90;89;90;96;93;96;87;105;136;149;157;164;170;174;175;172;146;122;116;113;101;89;84;84;121;113;61;1530;640
9434;2020;2;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;80;80;71;63;60;57;59;53;69;84;105;130;149;168;178;185;179;163;147;136;125;113;104;101;71;47;124;115;40;1500;700
9434;2020;2;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;91;85;83;74;73;70;64;57;63;71;103;116;130;149;168;182;183;174;154;143;128;119;116;108;81;55;121;117;56;1510;710
9434;2020;2;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;99;92;86;81;84;79;72;67;71;87;113;165;174;168;152;139;133;126;118;115;110;104;103;92;91;66;126;87;66;1240;710
9434;2020;2;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;89;82;78;78;74;70;62;64;77;95;105;114;123;127;131;135;131;126;113;103;93;87;80;75;65;48;75;70;56;1500;555
9434;2020;2;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;71;68;64;61;63;51;48;56;62;86;107;118;128;134;142;148;150;146;122;98;88;86;68;56;48;34;82;77;26;1550;510
9434;2020;2;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;49;39;34;29;34;34;24;19;37;60;81;85;101;121;135;145;160;152;123;97;87;78;69;77;33;13;80;81;9;1610;700
9434;2020;2;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;84;86;67;73;67;59;56;58;62;84;101;118;134;154;157;166;170;168;140;111;103;98;91;77;65;46;105;101;47;1550;540
