INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;HU00;HU01;HU02;HU03;HU04;HU05;HU06;HU07;HU08;HU09;HU10;HU11;HU12;HU13;HU14;HU15;HU16;HU17;HU18;HU19;HU20;HU21;HU22;HU23;HUMAX;HHUMAX;HUMIN;HHUMIN
9434;2020;6;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;89;92;93;94;94;94;94;90;88;76;71;63;55;53;48;40;38;37;38;38;57;65;64;67;95;420;33;1840
9434;2020;6;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;71;70;73;81;83;83;76;68;63;60;57;52;48;48;46;42;49;46;53;55;62;71;73;77;84;450;42;1430
9434;2020;6;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;78;82;85;87;88;89;83;78;68;64;58;56;60;57;44;62;62;89;95;88;86;87;87;88;95;1740;42;1430
9434;2020;6;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;87;91;93;96;93;93;87;85;85;73;52;47;44;37;40;44;45;43;47;51;59;62;65;65;96;300;37;1300
9434;2020;6;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;66;68;66;72;69;75;72;62;54;50;47;42;37;37;36;37;38;39;39;42;52;64;69;69;75;500;36;9999
9434;2020;6;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;71;71;74;80;79;79;70;65;61;56;50;47;48;44;38;36;38;43;49;66;71;75;77;74;81;330;36;1440
9434;2020;6;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;73;71;74;73;73;71;73;67;61;58;52;52;53;53;53;72;50;46;45;49;52;54;59;59;74;150;44;1740
9434;2020;6;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;63;63;64;66;64;64;61;58;55;51;47;44;42;40;39;38;42;40;44;47;54;57;60;64;66;250;37;1420
9434;2020;6;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;64;67;69;64;67;64;60;56;54;50;45;42;39;37;37;37;35;38;38;41;49;56;60;63;69;200;35;9999
9434;2020;6;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;61;62;63;68;65;63;61;58;56;49;44;41;36;33;32;34;35;36;39;39;41;43;49;50;68;240;31;1250
