INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;PRES00;PRES07;PRES13;PRES18;PRESMAX;HPRESMAX;PRESMIN;HPRESMIN
9434;2020;6;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;9849;9852;9845;9829;9859;23;9828;17
9434;2020;6;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;9857;9863;9834;9819;9863;7;9815;17
9434;2020;6;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;9820;9807;9757;9781;9822;0;9742;15
9434;2020;6;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;9769;9750;9751;9766;9813;24;9742;5
9434;2020;6;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;9813;9830;9818;9800;9833;8;9799;18
9434;2020;6;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;9821;9813;9773;9745;9821;0;9740;17
9434;2020;6;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;9787;9793;9805;9820;9842;22;9778;2
9434;2020;6;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;9841;9847;9846;9854;9883;23;9839;2
9434;2020;6;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;9880;9885;9870;9866;9887;99;9863;99
9434;2020;6;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;9883;9878;9853;9838;9883;0;9825;24
9434;2020;6;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;9825;9783;9744;9719;9825;0;9715;19
9434;2020;6;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;9738;9750;9754;9753;9799;99;9736;2
9434;2020;6;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;9799;9823;9845;9846;9873;24;9797;1
9434;2020;6;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;9873;9885;9878;9869;9900;24;9863;17
9434;2020;6;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;9900;9913;9896;9878;9914;8;9877;16
9434;2020;6;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;9894;9893;9866;9861;9897;8;9847;16
9434;2020;6;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;9883;9878;9865;9841;9883;0;9841;99
9434;2020;6;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;9857;9860;9849;9836;9868;24;9832;17
9434;2020;6;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;9868;9886;9873;9861;9909;23;9861;18
9434;2020;6;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;9902;9919;9902;9880;9921;8;9878;17
9434;2020;6;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;9911;9929;9914;9906;9946;24;9903;99
9434;2020;6;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;9946;9942;9910;9873;9946;0;9872;18
9434;2020;6;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;9891;9893;9860;9835;9893;7;9830;17
9434;2020;6;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;9865;9867;9851;9845;9874;21;9834;17
9434;2020;6;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;9864;9866;9838;9831;9871;22;9817;17
9434;2020;6;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;9850;9850;9822;9813;9859;1;9810;16
9434;2020;6;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;9838;9859;9850;9838;9862;9;9837;0
9434;2020;6;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;9859;9881;9864;9841;9883;8;9840;17
9434;2020;6;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;9874;9883;9862;9842;9884;8;9841;17
9434;2020;6;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;9865;9862;9830;9795;9865;0;9795;18
