INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;HU00;HU01;HU02;HU03;HU04;HU05;HU06;HU07;HU08;HU09;HU10;HU11;HU12;HU13;HU14;HU15;HU16;HU17;HU18;HU19;HU20;HU21;HU22;HU23;HUMAX;HHUMAX;HUMIN;HHUMIN
9434;2020;3;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;41;45;46;46;47;51;51;57;51;48;44;41;41;37;29;34;39;37;63;53;52;51;52;54;63;1750;26;1410
9434;2020;3;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;55;52;52;52;52;52;71;81;80;73;63;52;51;45;44;41;54;43;46;57;58;60;66;66;83;650;41;1500
9434;2020;3;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;65;66;70;76;78;78;75;77;83;80;70;65;60;60;60;48;52;44;48;52;60;67;68;72;83;750;42;1710
9434;2020;3;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;75;77;81;81;81;83;80;83;83;76;65;59;57;56;55;51;49;50;56;51;53;55;58;57;84;510;49;1600
9434;2020;3;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;59;59;60;60;60;54;56;59;60;57;52;48;59;27;27;27;46;52;71;65;60;60;69;67;76;1810;25;1340
9434;2020;3;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;70;69;70;73;71;61;69;75;80;82;68;58;61;57;52;50;62;63;66;62;65;70;72;66;87;830;47;1350
9434;2020;3;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;71;72;72;73;70;72;69;72;72;65;65;60;56;56;55;54;52;59;62;62;66;66;66;63;75;330;51;1530
9434;2020;3;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;67;67;66;73;78;81;83;85;79;70;62;51;47;46;45;44;39;43;52;58;61;64;63;67;86;650;34;1540
9434;2020;3;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;70;74;72;68;69;67;65;64;63;58;54;48;47;46;44;50;47;52;56;62;64;69;68;62;74;50;42;1320
9434;2020;3;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;63;64;66;69;69;69;67;63;53;47;44;40;38;34;33;34;35;38;45;50;48;45;51;59;70;310;32;1340
9434;2020;3;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;63;59;65;66;68;69;77;75;67;59;55;50;43;37;36;27;29;29;31;46;45;50;54;59;78;610;27;1500
9434;2020;3;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;62;67;70;74;78;81;85;83;72;64;66;55;55;53;46;44;44;46;56;62;64;68;70;71;85;600;43;1540
9434;2020;3;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;72;72;72;71;72;73;72;69;64;60;59;54;51;49;47;48;50;55;58;54;58;61;64;66;74;530;46;1420
9434;2020;3;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;69;69;71;69;70;71;69;64;61;51;45;34;31;32;27;23;27;31;35;40;46;54;57;60;72;510;23;1450
9434;2020;3;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;68;72;75;76;78;80;85;82;75;75;81;75;64;59;62;64;76;77;82;81;79;78;81;85;90;2359;57;1330
9434;2020;3;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;90;91;93;94;91;95;94;91;93;95;95;95;95;97;96;97;97;97;97;97;98;97;98;97;98;9999;89;20
9434;2020;3;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;97;98;96;96;97;97;97;96;96;95;95;94;93;93;91;91;90;90;93;93;93;92;93;94;98;40;88;1610
9434;2020;3;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;95;96;97;99;100;100;100;100;100;100;97;94;90;88;80;77;74;78;80;83;85;91;90;92;100;9999;74;1540
9434;2020;3;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;95;94;93;95;96;97;98;99;98;96;85;77;64;60;59;56;54;49;60;60;68;68;74;76;99;640;44;1640
9434;2020;3;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;77;83;87;87;90;91;92;93;91;87;81;69;61;55;55;52;57;56;60;66;70;74;79;81;93;700;51;1450
9434;2020;3;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;85;88;90;93;91;93;95;95;86;78;72;66;55;49;48;46;49;49;56;60;65;70;72;74;96;440;46;1430
9434;2020;3;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;78;77;77;80;84;86;86;86;79;72;59;59;56;53;47;51;48;52;58;66;72;77;80;84;87;610;47;1400
9434;2020;3;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;84;84;85;84;87;89;90;88;89;83;74;70;67;80;71;70;67;74;77;82;85;87;90;91;93;2350;66;1140
9434;2020;3;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;92;94;92;93;96;94;91;92;87;77;73;62;59;56;53;52;49;49;53;64;64;67;81;85;96;400;48;1550
9434;2020;3;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;87;88;90;91;91;92;93;91;86;81;80;79;74;72;66;64;62;63;68;74;83;86;88;89;93;9999;61;1550
9434;2020;3;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;89;87;83;76;73;72;73;72;67;57;61;51;33;32;31;29;27;29;30;35;45;71;78;67;91;50;27;9999
9434;2020;3;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;68;69;73;69;73;72;73;71;70;66;60;56;52;46;40;39;38;34;36;43;51;56;61;63;76;150;33;1640
9434;2020;3;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;72;74;78;82;82;83;83;82;73;58;53;48;42;36;36;32;32;31;34;52;53;60;61;63;85;330;30;1620
9434;2020;3;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;65;63;60;64;71;65;64;64;57;45;37;32;31;29;32;38;41;49;54;54;61;64;69;69;71;350;29;1300
9434;2020;3;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;68;66;66;65;63;57;54;54;45;44;46;44;42;38;34;37;35;40;41;44;45;46;50;56;68;0;34;1400
9434;2020;3;31;ZARAGOZA/AEROPUERTO;249;0100152;413938;62;78;84;92;96;96;97;96;97;96;96;94;93;93;93;93;93;95;97;97;97;96;97;98;98;2330;62;0
