INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;P77;P24;PHT07;PHT13;PHT18;PHT24;PMAX10;PMAX20;PMAX30;PMAX60;PMAX2H;PMAX6H;PMAX12H;PINTMAX;PHINT;DIR;VEL;PDUR;PH01;PH02;PH03;PH04;PH05;PH06;PH07;PH08;PH09;PH10;PH11;PH12;PH13;PH14;PH15;PH16;PH17;PH18;PH19;PH20;PH21;PH22;PH23;PH24;Lluvia;Nieve;Granizo;Tormenta;Niebla;Rocio;Escarcha;NieveSuelo;Neblina;Calima;VientoFuerte;Polvareda;MetPrecNoEspec;Otros
9434;2020;3;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;12;-3;-3;0;-3;0;-3;-3;-3;-3;-3;-3;-3;-3;;;;;0;0;-3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;0;0;0;0;0;1;;;;;;;;;;1;;;
9434;2020;3;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;4;14;12;2;-3;0;10;12;12;12;12;14;14;60;551;28;59;40;0;0;0;0;0;12;-3;0;2;0;0;0;0;0;-3;0;0;0;0;0;0;0;0;0;5;;;1;;;;;;;1;;;
9434;2020;3;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;22;24;2;22;0;0;6;10;12;20;24;24;24;36;9999;;;139;0;0;0;0;0;0;2;20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;1;;;
9434;2020;3;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;SI
9434;2020;3;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;2;2;0;-3;-3;2;2;2;2;2;2;2;2;12;1804;31;25;27;0;0;0;0;0;0;0;0;0;0;0;-3;0;0;0;-3;0;-3;2;0;0;0;0;0;5;;;;;;;;;;1;;;
9434;2020;3;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;22;22;-3;22;-3;-3;8;10;14;14;20;22;22;48;741;31;16;109;0;0;0;0;0;-3;-3;12;8;0;0;2;0;0;-3;-3;0;-3;-3;0;0;0;0;0;5;;;;;;;;;;1;;;
9434;2020;3;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;1;;;
9434;2020;3;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;;;;;;;;
9434;2020;3;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;1;;;
9434;2020;3;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;1;;;
