INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;TMAX;TMIN;TMED
9434;2020;3;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;213;119;166
9434;2020;3;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;174;49;112
9434;2020;3;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;175;30;102
9434;2020;3;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;204;82;143
9434;2020;3;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;202;76;139
9434;2020;3;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;109;56;82
9434;2020;3;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;152;59;106
9434;2020;3;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;175;30;102
9434;2020;3;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;149;92;120
9434;2020;3;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;213;83;148
9434;2020;3;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;253;72;162
9434;2020;3;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;227;87;157
9434;2020;3;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;185;96;140
9434;2020;3;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;193;70;132
9434;2020;3;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;173;36;104
9434;2020;3;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;121;48;84
9434;2020;3;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;133;89;111
9434;2020;3;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;156;76;116
9434;2020;3;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;177;70;124
9434;2020;3;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;167;69;118
9434;2020;3;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;173;54;114
9434;2020;3;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;178;67;122
9434;2020;3;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;160;94;127
9434;2020;3;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;165;90;128
9434;2020;3;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;120;51;86
9434;2020;3;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;142;40;91
9434;2020;3;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;151;28;90
9434;2020;3;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;185;43;114
9434;2020;3;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;176;73;124
9434;2020;3;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;96;52;74
9434;2020;3;31;ZARAGOZA/AEROPUERTO;249;0100152;413938;58;9;34
