INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;TMAX;TMIN;TMED
9434;2020;5;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;268;167;218
9434;2020;5;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;277;146;212
9434;2020;5;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;293;136;214
9434;2020;5;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;306;157;232
9434;2020;5;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;283;156;220
9434;2020;5;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;287;153;220
9434;2020;5;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;292;142;217
9434;2020;5;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;283;150;216
9434;2020;5;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;251;148;200
9434;2020;5;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;179;126;152
9434;2020;5;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;244;126;185
9434;2020;5;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;192;115;154
9434;2020;5;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;215;102;158
9434;2020;5;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;192;124;158
9434;2020;5;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;185;120;152
9434;2020;5;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;211;117;164
9434;2020;5;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;238;118;178
9434;2020;5;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;268;121;194
9434;2020;5;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;287;139;213
9434;2020;5;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;304;144;224
9434;2020;5;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;319;169;244
9434;2020;5;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;337;164;250
9434;2020;5;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;266;158;212
9434;2020;5;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;266;138;202
9434;2020;5;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;230;169;200
9434;2020;5;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;284;149;216
9434;2020;5;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;290;169;230
9434;2020;5;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;298;150;224
9434;2020;5;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;319;160;240
9434;2020;5;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;306;150;228
9434;2020;5;31;ZARAGOZA/AEROPUERTO;249;0100152;413938;299;170;234
