INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;P77;P24;PHT07;PHT13;PHT18;PHT24;PMAX10;PMAX20;PMAX30;PMAX60;PMAX2H;PMAX6H;PMAX12H;PINTMAX;PHINT;DIR;VEL;PDUR;PH01;PH02;PH03;PH04;PH05;PH06;PH07;PH08;PH09;PH10;PH11;PH12;PH13;PH14;PH15;PH16;PH17;PH18;PH19;PH20;PH21;PH22;PH23;PH24;Lluvia;Nieve;Granizo;Tormenta;Niebla;Rocio;Escarcha;NieveSuelo;Neblina;Calima;VientoFuerte;Polvareda;MetPrecNoEspec;Otros
9434;2020;11;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
9434;2020;11;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
9434;2020;11;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;4;4;0;0;4;0;2;2;4;4;4;4;4;12;9999;;;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;4;-3;0;0;0;0;0;0;0;1;;;;;;;;;;1;;;
9434;2020;11;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;28;28;-3;-3;20;8;4;6;8;10;16;28;28;24;9999;;;315;0;0;0;-3;0;0;0;-3;0;0;0;0;0;0;-3;10;6;4;2;6;0;0;0;0;1;;;;;;;;;;1;;;
9434;2020;11;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;32;32;0;-3;-3;32;6;10;12;22;32;32;32;36;2136;10;5;154;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;0;0;0;-3;0;-3;14;18;-3;0;1;;;;;;;;1;;;;;
9434;2020;11;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;242;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;1;;1;;;
9434;2020;11;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;74;316;242;74;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;1;;;;;;;1;;;G
9434;2020;11;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;1;;;;1;;;;;
9434;2020;11;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;-3;-3;0;-3;0;0;-3;-3;-3;-3;-3;-3;-3;-3;;;;;0;0;0;0;0;0;0;0;0;0;0;-3;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;
9434;2020;11;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1;;;;;;;;
