INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;HU00;HU01;HU02;HU03;HU04;HU05;HU06;HU07;HU08;HU09;HU10;HU11;HU12;HU13;HU14;HU15;HU16;HU17;HU18;HU19;HU20;HU21;HU22;HU23;HUMAX;HHUMAX;HUMIN;HHUMIN
9434;2020;10;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;59;56;67;64;67;77;80;79;69;62;46;46;40;39;39;42;43;46;51;55;59;52;51;41;80;600;39;1330
9434;2020;10;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;47;58;69;82;53;51;53;56;82;86;86;86;84;77;70;66;58;49;64;61;64;65;76;53;92;930;47;0
9434;2020;10;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;54;57;56;57;56;55;55;54;54;52;50;44;41;39;43;38;36;39;39;41;40;42;47;52;58;40;35;1530
9434;2020;10;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;55;66;54;56;60;60;60;53;53;52;49;47;53;50;62;74;66;83;84;81;85;87;91;93;94;2240;46;930
9434;2020;10;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;92;93;95;95;95;95;95;93;85;65;63;55;47;45;44;40;37;41;49;60;60;66;72;79;96;150;37;1600
9434;2020;10;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;81;81;82;82;78;76;79;78;69;66;63;45;47;46;46;46;50;52;59;63;68;66;74;75;83;638;45;9999
9434;2020;10;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;79;79;80;83;86;87;88;87;77;66;59;58;54;52;51;47;50;54;57;63;64;68;67;68;91;530;47;1500
9434;2020;10;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;69;72;75;83;84;86;89;88;80;72;65;60;54;51;48;44;47;54;58;64;67;70;75;77;90;610;44;1500
9434;2020;10;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;79;81;83;83;85;87;87;87;82;77;72;66;61;56;53;50;50;49;61;67;65;69;72;73;89;540;49;9999
9434;2020;10;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;73;75;74;74;75;74;73;74;70;67;60;56;51;51;49;46;45;49;54;54;59;62;65;68;76;350;44;1540
