INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;TMAX;TMIN;TMED
9434;2020;10;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;241;128;184
9434;2020;10;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;198;88;143
9434;2020;10;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;197;115;156
9434;2020;10;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;189;98;144
9434;2020;10;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;204;75;140
9434;2020;10;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;248;99;174
9434;2020;10;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;247;138;192
9434;2020;10;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;254;120;187
9434;2020;10;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;256;130;193
9434;2020;10;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;215;130;172
9434;2020;10;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;173;111;142
9434;2020;10;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;174;110;142
9434;2020;10;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;199;118;158
9434;2020;10;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;168;94;131
9434;2020;10;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;158;85;122
9434;2020;10;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;163;75;119
9434;2020;10;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;193;36;114
9434;2020;10;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;212;49;130
9434;2020;10;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;236;72;154
9434;2020;10;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;199;152;176
9434;2020;10;21;ZARAGOZA/AEROPUERTO;249;0100152;413938;243;166;204
9434;2020;10;22;ZARAGOZA/AEROPUERTO;249;0100152;413938;200;153;176
9434;2020;10;23;ZARAGOZA/AEROPUERTO;249;0100152;413938;212;123;168
9434;2020;10;24;ZARAGOZA/AEROPUERTO;249;0100152;413938;212;91;152
9434;2020;10;25;ZARAGOZA/AEROPUERTO;249;0100152;413938;204;127;166
9434;2020;10;26;ZARAGOZA/AEROPUERTO;249;0100152;413938;163;74;118
9434;2020;10;27;ZARAGOZA/AEROPUERTO;249;0100152;413938;192;54;123
9434;2020;10;28;ZARAGOZA/AEROPUERTO;249;0100152;413938;214;81;148
9434;2020;10;29;ZARAGOZA/AEROPUERTO;249;0100152;413938;223;94;158
9434;2020;10;30;ZARAGOZA/AEROPUERTO;249;0100152;413938;211;66;138
9434;2020;10;31;ZARAGOZA/AEROPUERTO;249;0100152;413938;229;63;146
