INDICATIVO;AÑO;MES;DIA;NOMBRE;ALTITUD;LONGITUD;LATITUD;HU00;HU01;HU02;HU03;HU04;HU05;HU06;HU07;HU08;HU09;HU10;HU11;HU12;HU13;HU14;HU15;HU16;HU17;HU18;HU19;HU20;HU21;HU22;HU23;HUMAX;HHUMAX;HUMIN;HHUMIN
9434;2020;9;1;ZARAGOZA/AEROPUERTO;249;0100152;413938;37;43;49;49;53;57;59;59;48;46;44;36;30;30;25;21;22;23;27;31;39;41;51;54;63;640;20;1520
9434;2020;9;2;ZARAGOZA/AEROPUERTO;249;0100152;413938;56;57;56;56;58;59;59;62;57;50;44;42;37;31;29;25;23;23;27;31;36;43;47;51;63;640;21;1630
9434;2020;9;3;ZARAGOZA/AEROPUERTO;249;0100152;413938;54;55;55;59;63;63;66;62;58;52;45;37;35;32;27;25;23;22;25;29;31;38;37;46;66;600;22;1650
9434;2020;9;4;ZARAGOZA/AEROPUERTO;249;0100152;413938;52;62;60;63;67;71;72;62;61;58;51;44;39;33;24;13;17;21;22;22;41;47;55;62;72;540;13;1500
9434;2020;9;5;ZARAGOZA/AEROPUERTO;249;0100152;413938;67;65;68;75;78;74;78;66;66;59;51;45;42;37;38;37;40;40;46;50;56;62;65;65;78;9999;36;1310
9434;2020;9;6;ZARAGOZA/AEROPUERTO;249;0100152;413938;64;63;65;67;68;67;67;64;60;55;51;48;45;44;43;40;38;39;42;47;50;52;53;54;68;400;37;1610
9434;2020;9;7;ZARAGOZA/AEROPUERTO;249;0100152;413938;54;54;56;58;59;59;60;60;55;46;41;38;33;31;29;30;30;33;37;43;47;50;52;57;62;620;28;1410
9434;2020;9;8;ZARAGOZA/AEROPUERTO;249;0100152;413938;60;61;64;66;67;69;70;65;61;52;44;38;34;28;25;23;23;24;28;32;33;37;39;43;71;520;23;1530
9434;2020;9;9;ZARAGOZA/AEROPUERTO;249;0100152;413938;44;50;49;52;55;56;61;58;54;47;44;39;36;35;26;27;25;24;28;29;75;74;80;84;87;2359;23;1620
9434;2020;9;10;ZARAGOZA/AEROPUERTO;249;0100152;413938;87;90;89;87;78;67;64;64;56;50;44;38;32;31;27;25;25;27;30;33;38;45;51;52;91;110;25;1530
9434;2020;9;11;ZARAGOZA/AEROPUERTO;249;0100152;413938;57;59;59;60;64;64;65;60;57;57;54;50;45;39;34;27;25;29;28;36;36;42;52;61;65;9999;25;1600
9434;2020;9;12;ZARAGOZA/AEROPUERTO;249;0100152;413938;65;68;70;73;73;74;77;72;65;58;54;51;44;35;30;26;28;29;31;29;32;36;38;40;77;530;25;1540
9434;2020;9;13;ZARAGOZA/AEROPUERTO;249;0100152;413938;47;49;57;58;62;70;72;63;56;50;43;37;29;27;25;21;20;20;22;24;33;36;40;44;72;600;19;1710
9434;2020;9;14;ZARAGOZA/AEROPUERTO;249;0100152;413938;47;52;55;59;64;64;62;59;54;47;42;35;29;28;26;23;26;27;34;40;42;46;52;54;65;520;21;1510
9434;2020;9;15;ZARAGOZA/AEROPUERTO;249;0100152;413938;57;71;83;78;81;79;83;80;74;64;56;49;39;36;33;32;32;32;36;37;42;50;56;60;85;640;31;1520
9434;2020;9;16;ZARAGOZA/AEROPUERTO;249;0100152;413938;64;63;65;64;65;68;71;65;63;57;49;45;38;35;32;28;23;28;31;34;42;48;53;59;76;2330;22;1540
9434;2020;9;17;ZARAGOZA/AEROPUERTO;249;0100152;413938;74;76;76;81;82;84;83;86;80;77;71;64;55;46;41;34;33;34;39;48;53;57;60;63;86;640;30;1530
9434;2020;9;18;ZARAGOZA/AEROPUERTO;249;0100152;413938;67;66;67;70;72;70;71;72;82;78;74;55;56;59;73;94;80;88;90;92;80;78;70;87;94;1500;50;1130
9434;2020;9;19;ZARAGOZA/AEROPUERTO;249;0100152;413938;87;86;87;91;90;92;80;89;81;80;65;56;58;50;49;45;46;64;70;79;66;64;67;69;92;440;43;1440
9434;2020;9;20;ZARAGOZA/AEROPUERTO;249;0100152;413938;74;80;88;86;85;86;86;82;81;67;60;56;52;47;49;65;68;64;75;79;79;83;77;82;89;210;45;1420
